t,FAPAR_mean
2019-03-17,
2019-03-19,0.73865503
2019-03-22,0.7212424
2019-03-24,
2019-03-27,
2019-03-29,0.7560999
2019-04-01,0.71686065
2019-04-03,
2019-04-06,
2019-04-08,
2019-04-11,0.7788242
2019-04-13,
2019-04-16,0.75731254
2019-04-18,0.78870606
2019-04-21,0.7933959
2019-04-23,
2019-04-26,
2019-04-28,
2019-05-01,
2019-05-03,
2019-05-06,
2019-05-08,
2019-05-11,
2019-05-13,0.84309953
2019-05-16,
2019-05-18,
2019-05-23,0.8672578
2019-05-26,
2019-05-28,0.83369935
2019-05-31,
2019-06-02,0.85403377
2019-06-05,
2019-06-07,
2019-06-12,
2019-06-15,0.83656305
2019-06-17,0.84094524
2019-06-20,
2019-06-22,0.74127644
2019-06-25,
2019-06-27,0.6645361
2019-06-30,
2019-07-02,
2019-07-05,0.58160305
2019-07-07,
2019-07-10,
2019-07-12,
2019-07-15,
2019-07-17,0.24213907
2019-07-20,
2019-07-22,
2019-07-25,
2019-07-27,
2019-07-30,
2019-08-01,
2019-08-04,
2019-08-06,
2019-08-09,
2019-08-11,
2019-08-14,
2019-08-16,
2019-08-19,
2019-08-21,0.095574535
2019-08-24,0.12066679
2019-08-26,0.105624415
2019-08-29,
2019-08-31,0.17988196
2019-09-03,
2019-09-05,
2019-09-08,
2019-09-10,0.29427454
2019-09-13,
2019-09-15,0.36984974
2019-09-18,
2019-09-20,0.45786217
2019-09-25,
2019-09-28,
2019-09-30,
2019-10-03,
2019-10-05,
2019-10-08,
2019-10-10,
2019-10-13,
2019-10-15,
2019-10-18,
2019-10-20,
2019-10-23,
2019-10-25,
2019-10-28,0.7919568
2019-10-30,
2019-11-02,
2019-11-04,
2019-11-09,
2019-11-12,
2019-11-14,
2019-11-17,
2019-11-19,
2019-11-22,0.72959673
2019-11-24,
2019-11-27,
2019-11-29,
2019-12-02,
2019-12-04,0.4717264
2019-12-07,
2019-12-09,
2019-12-12,
2019-12-14,
2019-12-17,0.1403139
2019-12-19,
2019-12-22,
2019-12-24,
2019-12-27,
2019-12-29,
2020-01-01,0.14061803
2020-01-03,
2020-01-06,0.16246805
2020-01-08,
2020-01-11,
2020-01-13,
2020-01-16,
2020-01-18,
2020-01-21,0.17577969
2020-01-23,
2020-01-26,0.14665386
2020-01-28,
2020-01-31,
2020-02-02,
2020-02-05,
2020-02-07,0.12774648
2020-02-10,
2020-02-12,
2020-02-15,
2020-02-17,
2020-02-20,
2020-02-22,
2020-02-25,
2020-02-27,
2020-03-01,
2020-03-03,
2020-03-06,
2020-03-08,
2020-03-11,
2020-03-13,0.060001284
2020-03-16,0.09062116
2020-03-18,0.081112884
2020-03-21,
2020-03-23,0.1145702
2020-03-26,0.110975794
2020-03-28,0.073033296
2020-03-31,
2020-04-02,
2020-04-05,0.03289225
2020-04-07,0.016378386
2020-04-10,0.030951384
2020-04-12,0.02244532
2020-04-15,
2020-04-17,0.027432201
2020-04-20,0.054580744
2020-04-22,0.14625874
2020-04-25,0.06296103
2020-04-27,0.06953629
2020-04-30,
2020-05-02,
2020-05-05,
2020-05-07,0.071109325
