t,PPI_mean
2019-03-18,
2019-03-20,
2019-03-23,
2019-03-25,
2019-03-28,
2019-03-30,
2019-04-02,0.42980286
2019-04-04,0.4705569
2019-04-07,0.6119182
2019-04-09,
2019-04-12,1.1084604
2019-04-14,
2019-04-17,0.75868404
2019-04-19,0.9539127
2019-04-22,0.9563491
2019-04-24,
2019-04-27,
2019-04-29,1.0729343
2019-05-02,
2019-05-04,
2019-05-07,
2019-05-09,
2019-05-12,1.1489313
2019-05-14,
2019-05-17,
2019-05-19,
2019-05-24,1.6103141
2019-05-27,
2019-05-29,2.2068272
2019-06-01,
2019-06-03,1.9496464
2019-06-06,1.5145372
2019-06-08,
2019-06-11,
2019-06-13,2.777187
2019-06-16,1.4450672
2019-06-18,
2019-06-21,
2019-06-23,1.2508194
2019-06-26,
2019-06-28,
2019-07-01,
2019-07-03,
2019-07-06,
2019-07-08,
2019-07-11,
2019-07-13,0.12002903
2019-07-16,
2019-07-18,
2019-07-21,
2019-07-23,
2019-07-26,0.002134801
2019-07-28,0.03691035
2019-07-31,
2019-08-02,
2019-08-05,
2019-08-07,
2019-08-10,0.009159284
2019-08-12,0.008234734
2019-08-15,
2019-08-17,
2019-08-20,0.021210946
2019-08-22,0.0035913144
2019-08-25,0.0034904222
2019-08-27,
2019-08-30,
2019-09-01,
2019-09-04,
2019-09-06,0.0023802498
2019-09-09,
2019-09-11,0.0026671623
2019-09-14,
2019-09-16,
2019-09-19,0.083552286
2019-09-21,
2019-09-24,
2019-09-26,
2019-09-29,
2019-10-01,
2019-10-04,
2019-10-06,0.38854346
2019-10-09,
2019-10-11,
2019-10-14,
2019-10-16,
2019-10-19,
2019-10-21,
2019-10-24,
2019-10-26,
2019-10-29,
2019-10-31,0.8859808
2019-11-03,
2019-11-05,
2019-11-08,
2019-11-10,0.84770095
2019-11-13,
2019-11-15,
2019-11-18,
2019-11-20,
2019-11-23,
2019-11-28,
2019-11-30,0.5811699
2019-12-03,
2019-12-05,0.4754494
2019-12-08,
2019-12-10,0.5484416
2019-12-13,
2019-12-15,
2019-12-18,
2019-12-20,
2019-12-23,
2019-12-25,
2019-12-28,
2019-12-30,
2020-01-02,0.50860584
2020-01-04,
2020-01-07,
2020-01-09,
2020-01-12,
2020-01-14,
2020-01-17,0.43345717
2020-01-19,0.5186584
2020-01-22,
2020-01-24,
2020-01-27,
2020-01-29,
2020-02-01,
2020-02-03,
2020-02-06,
2020-02-08,0.59505475
2020-02-11,
2020-02-13,
2020-02-16,
2020-02-18,
2020-02-21,
2020-02-23,
2020-02-26,
2020-02-28,1.0022155
2020-03-02,
2020-03-04,
2020-03-07,
2020-03-09,
2020-03-12,
2020-03-14,1.164065
2020-03-17,
2020-03-19,
2020-03-22,1.2708309
2020-03-24,1.1548445
2020-03-27,1.0781305
2020-03-29,
2020-04-01,
2020-04-03,
2020-04-06,1.367749
2020-04-08,
2020-04-11,
2020-04-13,2.3191175
2020-04-16,
2020-04-18,
2020-04-21,1.3333848
2020-04-23,1.4133854
2020-04-26,
2020-04-28,
2020-05-01,0.025325
2020-05-03,
2020-05-06,1.2946782
2020-05-08,1.2385569
2020-05-11,
2020-05-13,2.3157198
2020-05-16,
2020-05-18,
2020-05-21,
2020-05-23,
2020-05-26,
2020-05-28,2.4433138
2020-05-31,2.3511138
2020-06-02,2.085791
2020-06-05,
2020-06-07,
2020-06-10,
2020-06-12,
2020-06-15,1.7570436
2020-06-17,1.707505
2020-06-20,
2020-06-22,1.7057573
2020-06-25,1.820186
2020-06-27,
2020-06-30,
2020-07-02,
2020-07-05,
2020-07-07,
2020-07-10,
2020-07-12,
2020-07-15,
2020-07-17,
2020-07-20,
2020-07-22,
2020-07-25,
2020-07-27,
2020-07-30,
2020-08-01,0.37690035
2020-08-04,
2020-08-06,0.48215976
2020-08-09,
2020-08-11,0.45206332
2020-08-14,
2020-08-16,0.44997483
2020-08-19,
2020-08-21,
2020-08-24,
2020-08-26,
2020-08-29,
2020-08-31,
2020-09-03,0.25378877
2020-09-05,
2020-09-08,
2020-09-10,
2020-09-13,
2020-09-15,
2020-09-18,0.2017107
2020-09-20,0.20323603
2020-09-23,0.15404199
2020-09-25,
2020-09-28,0.21907419
2020-09-30,
2020-10-03,
2020-10-08,
2020-10-10,
2020-10-13,0.0022352764
2020-10-15,
2020-10-18,
2020-10-20,
2020-10-23,
2020-10-25,
2020-10-28,0.10859414
2020-10-30,
2020-11-02,0.059164222
2020-11-04,0.1923097
2020-11-07,
2020-11-09,
2020-11-12,
2020-11-14,
2020-11-17,
2020-11-19,0.24992274
2020-11-22,
2020-11-24,
2020-11-27,0.038903087
2020-11-29,
2020-12-02,
2020-12-04,
2020-12-07,
2020-12-09,
2020-12-12,
2020-12-17,
2020-12-19,
2020-12-22,
2020-12-24,
2020-12-27,
2020-12-29,
2021-01-01,
2021-01-03,
2021-01-06,
2021-01-08,
2021-01-11,
2021-01-13,
2021-01-16,0.3228244
2021-01-18,
2021-01-21,
2021-01-23,
2021-01-26,
2021-01-28,
2021-01-31,
2021-02-02,
2021-02-05,
2021-02-07,
2021-02-10,
2021-02-12,
2021-02-15,
2021-02-17,
2021-02-20,
2021-02-22,0.29962313
2021-02-25,0.28184727
2021-02-27,
2021-03-02,
2021-03-04,
2021-03-07,
