t,PPI_mean
2019-04-02,0.73076063
2019-04-04,0.90365046
2019-04-07,0.87997615
2019-04-09,
2019-04-12,
2019-04-14,
2019-04-17,0.9723496
2019-04-19,1.1366832
2019-04-22,1.2281576
2019-04-24,1.2902414
2019-04-27,
2019-04-29,
2019-05-02,
2019-05-04,
2019-05-07,
2019-05-09,
2019-05-12,
2019-05-14,
2019-05-17,
2019-05-19,
2019-05-24,
2019-05-27,
2019-05-29,
2019-06-01,
2019-06-03,2.4460366
2019-06-06,
2019-06-08,
2019-06-11,
2019-06-13,2.9587357
2019-06-16,
2019-06-18,0.9410125
2019-06-21,
2019-06-23,
2019-06-26,0.462241
2019-06-28,
2019-07-01,
2019-07-03,0.8489811
2019-07-06,
2019-07-08,
2019-07-11,
2019-07-13,
2019-07-16,
2019-07-18,
2019-07-21,
2019-07-23,0.6678032
2019-07-26,0.6035501
2019-07-28,
2019-07-31,
2019-08-02,
2019-08-05,
2019-08-07,
2019-08-10,
2019-08-12,
2019-08-15,
2019-08-17,
2019-08-20,
2019-08-22,0.79519457
2019-08-25,0.6705318
2019-08-27,0.7941488
2019-08-30,
2019-09-01,
2019-09-04,0.6006497
2019-09-06,
2019-09-09,
2019-09-11,0.6620785
2019-09-14,
2019-09-16,
2019-09-19,
2019-09-21,0.59642357
2019-09-24,
2019-09-26,
2019-09-29,
2019-10-01,0.61115414
2019-10-04,
2019-10-06,
2019-10-09,0.5161048
2019-10-11,
2019-10-14,0.4261294
2019-10-16,
2019-10-19,
2019-10-21,
2019-10-24,
2019-10-26,
2019-10-29,
2019-10-31,0.36497453
2019-11-03,
2019-11-05,
2019-11-08,
2019-11-10,0.2951321
2019-11-13,
2019-11-15,
2019-11-18,
2019-11-20,
2019-11-23,
2019-11-28,
2019-11-30,
2019-12-03,
2019-12-05,0.17163464
2019-12-08,
2019-12-10,
2019-12-13,
2019-12-15,
2019-12-18,
2019-12-20,0.13896848
2019-12-23,
2019-12-25,
2019-12-28,
2019-12-30,
2020-01-02,0.16672687
2020-01-04,
2020-01-07,
2020-01-09,
2020-01-12,
2020-01-14,
2020-01-17,0.15028434
2020-01-19,
2020-01-22,
2020-01-24,0.16458908
2020-01-27,
2020-01-29,0.0022454544
2020-02-01,
2020-02-03,
2020-02-06,
2020-02-08,0.20614143
2020-02-11,
2020-02-13,
2020-02-16,
2020-02-18,
2020-02-21,
2020-02-23,
2020-02-26,0.40945825
2020-02-28,
2020-03-02,
2020-03-04,
2020-03-07,
2020-03-09,
2020-03-12,
2020-03-14,
