t,PPI_mean
2019-02-23,
2019-02-26,
2019-02-28,
2019-03-03,
2019-03-05,
2019-03-08,
2019-03-10,
2019-03-13,
2019-03-15,
2019-03-18,
2019-03-20,0.24621977
2019-03-23,0.24124582
2019-03-25,
2019-03-28,0.53428465
2019-03-30,0.37522942
2019-04-02,
2019-04-04,
2019-04-07,0.5757824
2019-04-09,0.55371666
2019-04-12,
2019-04-14,
2019-04-17,
2019-04-19,1.2145888
2019-04-22,
2019-04-24,
2019-04-27,2.8250782
2019-04-29,
2019-05-02,2.0583491
2019-05-04,
2019-05-07,
2019-05-09,2.8757422
2019-05-12,
2019-05-14,
2019-05-17,
2019-05-19,
2019-05-24,2.5962117
2019-05-27,
2019-05-29,
2019-06-01,2.564171
2019-06-03,2.4807498
2019-06-06,
2019-06-11,
2019-06-13,2.074738
2019-06-16,
2019-06-18,2.2985225
2019-06-21,
2019-06-23,
2019-06-26,1.6941704
2019-06-28,1.7993376
2019-07-01,1.922724
2019-07-03,
2019-07-06,1.7832991
2019-07-08,
2019-07-11,
2019-07-13,
2019-07-16,2.3958778
2019-07-18,
2019-07-21,
2019-07-23,2.5758648
2019-07-26,
2019-07-28,
2019-07-31,
2019-08-02,
2019-08-05,
2019-08-07,
2019-08-10,0.47553203
2019-08-12,
2019-08-15,
2019-08-17,2.1815963
2019-08-20,
2019-08-22,2.3480291
2019-08-25,0.38879907
2019-08-27,1.886546
2019-08-30,1.859276
2019-09-01,
2019-09-04,1.7849157
2019-09-06,
2019-09-09,
2019-09-11,1.9774826
2019-09-14,1.0529753
2019-09-16,1.3736113
2019-09-19,1.5253716
2019-09-21,1.3675267
2019-09-24,
2019-09-26,
2019-09-29,1.395868
2019-10-01,1.4654459
2019-10-04,
2019-10-06,
2019-10-09,1.7750359
2019-10-11,1.6365732
2019-10-14,
2019-10-16,1.3406316
2019-10-19,
2019-10-21,
2019-10-24,
2019-10-26,0.685597
2019-10-29,
2019-10-31,
2019-11-03,
2019-11-05,
2019-11-08,
2019-11-10,0.48170665
2019-11-13,
2019-11-15,
2019-11-18,
2019-11-20,
2019-11-23,
2019-11-28,
2019-11-30,
2019-12-03,7.010954e-05
2019-12-05,0.0
2019-12-08,
2019-12-10,
2019-12-13,
2019-12-15,
2019-12-18,0.0
2019-12-20,
2019-12-23,
2019-12-25,
2019-12-28,
2019-12-30,0.0
2020-01-02,0.0
2020-01-04,
2020-01-07,0.0
2020-01-09,0.0
2020-01-12,0.0
2020-01-14,
2020-01-17,0.0
2020-01-19,
2020-01-22,0.0
2020-01-24,
2020-01-27,
2020-01-29,
2020-02-01,
2020-02-03,
2020-02-06,
2020-02-08,
2020-02-11,
2020-02-13,
2020-02-16,
2020-02-18,
2020-02-21,
2020-02-23,
2020-02-26,0.28028253
2020-02-28,
2020-03-02,
2020-03-04,
2020-03-07,
2020-03-09,
2020-03-12,0.3011816
2020-03-14,0.4090596
2020-03-17,
2020-03-19,0.34503737
2020-03-22,
2020-03-24,0.4757244
2020-03-27,
2020-03-29,
2020-04-01,0.5309348
2020-04-03,
2020-04-06,0.6573309
2020-04-08,0.7733868
2020-04-11,0.912259
2020-04-13,
2020-04-16,
2020-04-18,1.6297475
2020-04-21,
2020-04-23,1.8361915
2020-04-26,
2020-04-28,
2020-05-01,2.5023603
2020-05-03,2.539885
2020-05-06,1.4492382
2020-05-08,2.2066245
2020-05-11,2.6270914
2020-05-13,
2020-05-16,
2020-05-18,2.7085266
2020-05-21,2.644162
2020-05-23,
2020-05-26,1.4371462
2020-05-28,
2020-05-31,
2020-06-02,1.5073699
2020-06-05,1.7070917
2020-06-07,
2020-06-10,
2020-06-12,1.7314346
2020-06-15,
2020-06-17,
2020-06-20,
2020-06-22,
2020-06-25,0.23163696
2020-06-27,1.9039893
2020-06-30,1.8111163
2020-07-02,
2020-07-05,1.9126604
2020-07-07,2.085046
2020-07-10,1.9662284
2020-07-12,2.343424
2020-07-15,
2020-07-17,
2020-07-20,1.9476341
2020-07-22,1.9370351
2020-07-25,
2020-07-27,2.2415426
2020-07-30,2.1996017
2020-08-01,
2020-08-04,
2020-08-06,2.512096
2020-08-09,2.2577524
2020-08-11,2.377689
2020-08-14,
2020-08-16,1.7835023
2020-08-19,2.5082426
2020-08-21,2.2625349
2020-08-24,
2020-08-26,2.1839151
2020-08-29,
2020-08-31,
2020-09-03,3.0
2020-09-05,2.1066766
2020-09-08,2.129914
2020-09-10,1.800577
2020-09-13,1.4489597
2020-09-15,1.3491912
2020-09-18,1.1049601
2020-09-20,1.03012
2020-09-23,
2020-09-25,
2020-09-28,
2020-09-30,
2020-10-03,
2020-10-08,1.3131634
2020-10-10,
2020-10-13,
2020-10-15,
2020-10-18,0.15335014
2020-10-20,
2020-10-23,
2020-10-25,
2020-10-28,
2020-10-30,0.6456564
2020-11-02,0.49253565
2020-11-04,
2020-11-07,0.42798424
2020-11-09,0.3470399
2020-11-12,
2020-11-14,0.1973616
2020-11-17,0.15076496
2020-11-19,0.0018008647
2020-11-22,0.06959148
2020-11-24,0.033202033
2020-11-27,0.018951055
2020-11-29,0.0014707354
2020-12-02,
2020-12-04,
2020-12-07,
2020-12-09,
2020-12-12,
2020-12-17,0.0
2020-12-19,0.0
2020-12-22,
2020-12-24,
2020-12-27,
2020-12-29,
2021-01-01,0.0
2021-01-03,
2021-01-06,
2021-01-08,0.0
2021-01-11,0.0
2021-01-13,
2021-01-16,0.0
2021-01-18,
2021-01-21,
2021-01-23,
2021-01-26,
2021-01-28,
2021-01-31,
2021-02-02,
2021-02-05,
2021-02-07,
2021-02-10,
2021-02-12,
2021-02-15,
2021-02-17,
2021-02-20,
2021-02-22,
2021-02-25,
2021-02-27,
2021-03-02,
2021-03-04,
2021-03-07,
2021-03-09,
2021-03-12,
2021-03-14,
2021-03-17,
2021-03-19,
2021-03-22,
2021-03-24,
2021-03-27,
2021-03-29,
2021-04-01,0.052494638
2021-04-03,
2021-04-06,
2021-04-08,
2021-04-11,
2021-04-13,
2021-04-16,0.5244674
2021-04-18,
2021-04-21,
2021-04-23,0.87852967
2021-04-26,
2021-04-28,1.0614189
2021-05-01,
2021-05-03,
2021-05-06,
2021-05-08,1.965815
2021-05-11,1.1136323
2021-05-13,
2021-05-16,2.0706272
2021-05-18,
2021-05-21,
2021-05-23,
2021-05-26,2.504725
2021-05-28,2.91815
2021-05-31,2.5239744
2021-06-02,
2021-06-05,
2021-06-07,
2021-06-10,
2021-06-12,2.5968666
2021-06-15,1.5610863
2021-06-17,2.6563401
2021-06-20,
2021-06-22,
2021-06-25,
2021-06-27,1.5449911
2021-06-30,
2021-07-02,
2021-07-05,
2021-07-07,
2021-07-10,2.1645515
2021-07-12,
2021-07-15,
2021-07-17,
2021-07-20,
2021-07-22,2.468978
2021-07-25,
2021-07-27,
2021-07-30,
2021-08-01,
2021-08-04,
2021-08-06,2.278346
2021-08-09,1.7955598
2021-08-11,
2021-08-14,1.594277
2021-08-16,1.9301697
2021-08-19,1.8137093
2021-08-21,1.85927
2021-08-24,0.35339502
2021-08-26,
2021-08-29,
2021-08-31,
2021-09-03,1.6492742
2021-09-05,1.8066032
2021-09-08,1.6175839
2021-09-10,1.7415533
2021-09-13,1.7365631
2021-09-15,
2021-09-18,1.8261639
2021-09-20,
2021-09-23,1.2411945
2021-09-25,0.86239934
2021-09-28,0.9584422
2021-09-30,
2021-10-03,
2021-10-05,
2021-10-08,
2021-10-10,0.95327437
2021-10-13,
2021-10-15,0.82343096
2021-10-18,0.72327375
2021-10-20,0.59253734
2021-10-23,
2021-10-25,
2021-10-28,0.551511
2021-10-30,0.5454798
2021-11-02,
2021-11-04,
2021-11-07,
2021-11-12,-210.10634
2021-11-14,
2021-11-17,
2021-11-19,
2021-11-22,
2021-11-24,0.10020211
2021-11-27,
2021-11-29,
2021-12-02,
2021-12-04,
2021-12-07,0.0
2021-12-09,
2021-12-12,0.0
2021-12-14,
2021-12-17,0.0
2021-12-19,0.0
2021-12-22,0.0
2021-12-24,
2021-12-27,
2021-12-29,
2022-01-01,0.0
2022-01-03,
2022-01-06,
2022-01-08,
2022-01-11,0.0
2022-01-13,0.0
2022-01-16,0.0
2022-01-18,0.0
2022-01-21,
2022-01-23,
2022-01-26,0.0
2022-01-28,
2022-01-31,
2022-02-02,
2022-02-05,
2022-02-07,
2022-02-10,
2022-02-12,
2022-02-15,
2022-02-17,
2022-02-20,
2022-02-22,
2022-02-25,
2022-02-27,
2022-03-02,
2022-03-04,
2022-03-07,
2022-03-09,
2022-03-12,
2022-03-14,
2022-03-17,
2022-03-19,0.16903965
2022-03-22,0.17916124
2022-03-24,0.20404813
2022-03-27,0.20815061
2022-03-29,
2022-04-01,
2022-04-03,
2022-04-06,0.347809
2022-04-08,
2022-04-11,0.5375243
2022-04-13,
2022-04-16,
2022-04-18,0.8810316
2022-04-21,
2022-04-23,
2022-04-26,
2022-04-28,1.7796979
2022-05-01,
2022-05-03,
2022-05-06,
2022-05-08,
2022-05-11,2.1733322
2022-05-13,
2022-05-16,
2022-05-18,2.7452676
2022-05-21,
2022-05-23,2.5109527
2022-05-26,2.718237
2022-05-28,
2022-05-31,3.0
2022-06-02,
2022-06-05,2.4403667
2022-06-07,
2022-06-10,
2022-06-12,1.7497768
