t,PPI_mean
2019-02-25,0.00806728
2019-02-28,0.0070973723
2019-03-02,
2019-03-05,
2019-03-07,
2019-03-10,
2019-03-12,
2019-03-15,
2019-03-17,
2019-03-20,0.030017084
2019-03-22,0.0047441525
2019-03-25,0.0
2019-03-27,
2019-03-30,0.026734428
2019-04-01,0.044158213
2019-04-04,0.039371617
2019-04-06,
2019-04-09,0.0411195
2019-04-11,
2019-04-14,
2019-04-16,0.08584928
2019-04-19,0.07730605
2019-04-21,0.11095742
2019-04-24,0.1277862
2019-04-26,
2019-04-29,
2019-05-01,
2019-05-04,
2019-05-06,
2019-05-09,
2019-05-11,
2019-05-14,
2019-05-16,
2019-05-19,0.22855966
2019-05-21,
2019-05-24,0.6732699
2019-05-26,
2019-05-29,
2019-05-31,1.42941
2019-06-03,1.0895768
2019-06-05,
2019-06-08,
2019-06-10,
2019-06-13,1.4886255
2019-06-15,
2019-06-18,1.7008915
2019-06-20,
2019-06-23,
2019-06-25,1.7925133
2019-06-28,1.6479975
2019-06-30,1.7645336
2019-07-03,1.7479913
2019-07-05,1.0678657
2019-07-08,2.1139154
2019-07-10,2.3792338
2019-07-13,
2019-07-15,
2019-07-18,1.6141602
2019-07-20,1.4474597
2019-07-23,1.2182282
2019-07-25,1.3343319
2019-07-28,
2019-07-30,
2019-08-02,1.3989592
2019-08-04,1.1429485
2019-08-07,
2019-08-09,1.0500197
2019-08-12,
2019-08-14,1.3073052
2019-08-17,
2019-08-19,
2019-08-22,
2019-08-24,
2019-08-27,0.7310875
2019-08-29,
2019-09-01,0.6512073
2019-09-03,0.7192817
2019-09-06,
2019-09-08,
2019-09-11,
2019-09-13,
2019-09-16,
2019-09-18,0.5690307
2019-09-21,0.44585913
2019-09-23,
2019-09-26,
2019-09-28,
2019-10-01,0.3157694
2019-10-06,
2019-10-08,
2019-10-11,
2019-10-13,0.20911865
2019-10-16,0.12197197
2019-10-18,
2019-10-21,
2019-10-23,
2019-10-26,0.09287096
2019-10-28,
2019-10-31,
2019-11-02,
2019-11-05,
2019-11-07,0.05100893
2019-11-10,
2019-11-12,
2019-11-15,
2019-11-17,
2019-11-20,
2019-11-22,
2019-11-27,
2019-11-30,
2019-12-02,
2019-12-05,
2019-12-07,
2019-12-10,
2019-12-12,
2019-12-15,
2019-12-17,
2019-12-20,0.0045830486
2019-12-22,
2019-12-25,
2019-12-27,
2019-12-30,
2020-01-01,0.008650065
2020-01-04,
2020-01-06,0.010155585
2020-01-09,
2020-01-11,
2020-01-14,
2020-01-16,
2020-01-19,
2020-01-21,
2020-01-24,0.0
2020-01-26,
2020-01-29,
2020-01-31,
2020-02-03,
2020-02-05,
2020-02-08,0.0
2020-02-10,
2020-02-13,
2020-02-15,
2020-02-18,0.0
2020-02-20,
2020-02-23,
2020-02-25,
2020-02-28,
2020-03-01,
2020-03-04,0.037098758
2020-03-06,
2020-03-09,
2020-03-11,
2020-03-14,
2020-03-16,
2020-03-19,0.020730224
2020-03-21,
2020-03-24,0.038606044
2020-03-26,
