t,PPI_mean
2021-06-01,0.30017766
2021-06-06,
2021-06-11,
2021-06-16,
2021-06-21,
2021-06-26,
2021-07-01,
2021-07-06,0.5522299
2021-07-11,
2021-07-16,
2021-07-21,
2021-07-26,
2021-07-31,
2021-08-05,
2021-08-10,
2021-08-15,
2021-08-20,
2021-08-25,
2021-08-30,
2021-09-04,0.180303
2021-09-09,0.2620614
2021-09-14,
2021-09-19,
2021-09-24,
2021-09-29,
2021-10-04,
2021-10-09,0.10694016
2021-10-14,
2021-10-19,
2021-10-24,0.09185463
2021-10-29,0.07389932
2021-11-03,
2021-11-13,
2021-11-18,
2021-11-23,
2021-11-28,
2021-12-03,
2021-12-08,
2021-12-18,0.032470997
2021-12-23,
2022-01-02,
2022-01-07,
2022-01-12,
2022-01-17,
2022-01-22,
2022-01-27,
2022-02-01,
2022-02-06,
2022-02-11,
2022-02-16,
2022-02-21,
2022-02-26,
2022-03-03,0.076670416
2022-03-08,0.079700194
2022-03-13,0.08665868
2022-03-18,0.10134871
2022-03-23,0.08842705
2022-03-28,0.100025415
2022-04-02,
2022-04-07,
2022-04-12,
2022-04-17,0.15346082
2022-04-22,
2022-04-27,
2022-05-02,
2022-05-07,
2022-05-12,0.34985635
2022-05-17,
2022-05-22,
2022-05-27,
2022-06-01,
2022-06-06,
2022-06-11,
2022-06-16,0.53812075
2022-06-21,
2022-06-26,
2022-07-01,
2022-07-06,
2022-07-11,
2022-07-16,
2022-07-21,
2022-07-26,
2022-07-31,0.043349236
2022-08-05,
2022-08-10,0.31511888
2022-08-15,
2022-08-20,
2022-08-25,
2022-08-30,
2022-09-04,
2022-09-09,
2022-09-14,
2022-09-19,
2022-09-24,
2022-09-29,
2022-10-04,0.14814141
2022-10-09,0.1512613
2022-10-14,
2022-10-19,
2022-10-24,
2022-10-29,
2022-11-03,
2022-11-08,
2022-11-13,-5070.027
2022-11-18,
2022-11-23,
2022-11-28,
2022-12-03,
2022-12-08,
2022-12-13,0.013473108
2022-12-18,
2022-12-23,
2022-12-28,
2023-01-02,
2023-01-07,
2023-01-12,
2023-01-17,
2023-01-22,
2023-01-27,
2023-02-01,
2023-02-06,0.068447135
2023-02-11,
2023-02-16,
2023-02-21,-2400.9216
2023-02-26,
2023-03-03,
2023-03-08,
2023-03-13,
2023-03-18,
2023-03-23,
2023-03-28,
2023-04-02,
2023-04-07,
2023-04-12,
2023-04-17,
2023-04-22,
2023-04-27,
2023-05-02,
2023-05-07,
2023-05-12,
2023-05-17,
2023-05-22,
2023-05-27,0.39780164
2023-06-01,0.5144036
2023-06-06,0.56871235
2023-06-11,0.5633463
2023-06-16,
2023-06-21,
2023-06-26,
2023-07-01,
2023-07-06,
2023-07-11,0.46080637
2023-07-16,
2023-07-21,
2023-07-26,0.72013104
2023-07-31,
2023-08-05,
2023-08-10,0.28749114
2023-08-15,
2023-08-20,
2023-08-25,
2023-08-30,
2023-09-04,0.19743772
2023-09-09,0.19504209
2023-09-14,
2023-09-19,
2023-09-24,0.16668195
2023-09-29,
2023-10-04,
2023-10-09,
2023-10-14,
2023-10-19,
2023-10-24,
2023-10-29,
2023-11-03,
2023-11-08,
2023-11-13,
2023-11-18,
2023-11-28,
2023-12-03,
2023-12-08,
2023-12-13,
2023-12-18,-127.20959
2023-12-23,
2023-12-28,
2024-01-02,
2024-01-07,
2024-01-12,
2024-01-17,
2024-01-22,
2024-01-27,-64.76191
2024-02-01,
2024-02-06,
2024-02-11,
2024-02-16,
2024-02-21,
2024-02-26,
2024-03-02,
2024-03-07,
2024-03-12,
2024-03-17,
2024-03-22,
2024-03-27,
2024-04-01,
2024-04-06,
2024-04-11,
2024-04-16,
2024-04-21,
2024-04-26,
2024-05-01,
2024-05-06,
2024-05-11,0.3130254
2024-05-16,
2024-05-21,
2024-05-26,
2024-05-31,
2024-06-05,
2024-06-10,
2024-06-15,
2024-06-20,
2024-06-25,0.50164455
2024-06-30,
2024-07-05,
2024-07-10,
2024-07-15,0.35554984
2024-07-20,0.2957032
2024-07-25,
2024-07-30,0.29592377
2024-08-04,
2024-08-09,
2024-08-14,
2024-08-19,
2024-08-24,0.19433919
2024-08-29,0.17441542
2024-09-03,
2024-09-08,
2024-09-13,
2024-09-18,0.2559
2024-09-23,
2024-09-28,
2024-10-03,
2024-10-08,
2024-10-13,
2024-10-18,
2024-10-23,
2024-10-28,
2024-11-02,
2024-11-07,0.039351597
2024-11-12,
2024-11-17,
2024-11-22,
2024-11-27,
2024-12-02,
2024-12-07,
2024-12-12,
2024-12-17,
2024-12-22,
2024-12-27,
