setting,vpp,n,r_mean,r_median,rmse_mean,mae_mean,bias_mean
yfit_10_fit1_smooth1000.0_season2_seapar0.9,AMPL,88,1.0,1.0,321.6214618736019,227.42071666595456,227.12539015006817
yfit_10_fit1_smooth1000.0_season2_seapar0.9,EOSD,88,1.0,1.0,376.3429444441659,266.1146480681818,236.64975761363638
yfit_10_fit1_smooth1000.0_season2_seapar0.9,EOSV,88,1.0,1.0,321.49317232959487,227.3300022594318,227.24400631215906
yfit_10_fit1_smooth1000.0_season2_seapar0.9,LENGTH,88,1.0,1.0,351.2534772542263,248.37371568181817,218.08742772727274
yfit_10_fit1_smooth1000.0_season2_seapar0.9,LSLOPE,88,1.0,1.0,321.38520016526405,227.25365440985414,227.24724062127655
yfit_10_fit1_smooth1000.0_season2_seapar0.9,MAXV,88,1.0,1.0,321.5581134197513,227.3759225446591,227.18237543738636
yfit_10_fit1_smooth1000.0_season2_seapar0.9,MINV,88,1.0,1.0,321.5291002177771,227.3554071127992,227.30698528657194
yfit_10_fit1_smooth1000.0_season2_seapar0.9,RSLOPE,88,1.0,1.0,321.38574257676896,227.25403795270742,227.24737430963117
yfit_10_fit1_smooth1000.0_season2_seapar0.9,SOSD,88,1.0,1.0,376.46435112367703,266.2004955545454,245.81232987727273
yfit_10_fit1_smooth1000.0_season2_seapar0.9,SOSV,88,1.0,1.0,321.49138683354636,227.32873972306817,227.2453544169318
yfit_10_fit1_smooth1000.0_season2_seapar0.9,SPROD,88,1.0,1.0,374.75492509563725,264.9917488181818,196.3150948409091
yfit_10_fit1_smooth1000.0_season2_seapar0.9,TPROD,88,1.0,1.0,368.3723303870606,260.4785728181818,203.2916255227273
yfit_11_fit2_smooth100.0_season1_seapar1.0,AMPL,88,0.9393939393939394,1.0,1995.0870578651106,1477.3194011345113,568.001032413375
yfit_11_fit2_smooth100.0_season1_seapar1.0,EOSD,88,0.8181818181818182,1.0,2098.7133671274464,1556.8177158636363,599.8226413181818
yfit_11_fit2_smooth100.0_season1_seapar1.0,EOSV,88,0.9393939393939394,1.0,1995.0059200155135,1477.2544783748408,568.1662905227954
yfit_11_fit2_smooth100.0_season1_seapar1.0,LENGTH,88,0.8787878787878788,1.0,2066.7510949692023,1531.4584196136364,560.9276009772727
yfit_11_fit2_smooth100.0_season1_seapar1.0,LSLOPE,88,0.8787878787878788,1.0,1994.8483469927617,1477.1313370093133,568.1217722312471
yfit_11_fit2_smooth100.0_season1_seapar1.0,MAXV,88,1.0,1.0,1995.0959269235793,1477.321438300341,568.1044643748863
yfit_11_fit2_smooth100.0_season1_seapar1.0,MINV,88,1.0,1.0,1995.0234246804487,1477.267324533699,568.2284319584033
yfit_11_fit2_smooth100.0_season1_seapar1.0,RSLOPE,88,0.8787878787878788,1.0,1994.8487315320783,1477.1323117090953,568.121540661034
yfit_11_fit2_smooth100.0_season1_seapar1.0,SOSD,88,0.8181818181818182,1.0,2068.245731172318,1534.1123001477272,607.0200409431818
yfit_11_fit2_smooth100.0_season1_seapar1.0,SOSV,88,1.0,1.0,1995.0110890856608,1477.2589990681363,568.1666058110909
yfit_11_fit2_smooth100.0_season1_seapar1.0,SPROD,88,0.8787878787878788,1.0,1994.8946975896004,1477.167816476157,568.0923509220022
yfit_11_fit2_smooth100.0_season1_seapar1.0,TPROD,88,0.9393939393939394,1.0,1994.902349760774,1477.1716993958069,568.1123918296704
yfit_12_fit2_smooth250.0_season1_seapar1.0,AMPL,88,0.9428571428571428,1.0,1673.693592927912,1250.0595517565228,795.2590310721135
yfit_12_fit2_smooth250.0_season1_seapar1.0,EOSD,88,0.8285714285714286,1.0,1769.158601738625,1324.011690909091,834.5581943181819
yfit_12_fit2_smooth250.0_season1_seapar1.0,EOSV,88,1.0,1.0,1673.615543947826,1249.9977036373864,795.4251925592046
yfit_12_fit2_smooth250.0_season1_seapar1.0,LENGTH,88,0.8857142857142857,1.0,1732.3777294765882,1295.533750715909,794.2104365568182
yfit_12_fit2_smooth250.0_season1_seapar1.0,LSLOPE,88,0.8857142857142857,1.0,1673.4668995951106,1249.880335316325,795.3719995870507
yfit_12_fit2_smooth250.0_season1_seapar1.0,MAXV,88,1.0,1.0,1673.7015699523756,1250.0616029581818,795.3681937461365
yfit_12_fit2_smooth250.0_season1_seapar1.0,MINV,88,1.0,1.0,1673.6397845906993,1250.015230834442,795.4841626783419
yfit_12_fit2_smooth250.0_season1_seapar1.0,RSLOPE,88,1.0,1.0,1673.4677172400932,1249.88099692924,795.371798548177
yfit_12_fit2_smooth250.0_season1_seapar1.0,SOSD,88,0.8285714285714286,1.0,1749.6895825365077,1309.1173454488637,835.7227620397728
yfit_12_fit2_smooth250.0_season1_seapar1.0,SOSV,88,1.0,1.0,1673.6231327302578,1250.003532224773,795.4271638684091
yfit_12_fit2_smooth250.0_season1_seapar1.0,SPROD,88,0.8857142857142857,1.0,1673.5117683083024,1249.9157884602341,795.3436776614385
yfit_12_fit2_smooth250.0_season1_seapar1.0,TPROD,88,0.8857142857142857,1.0,1673.5188527313853,1249.9197012559057,795.3646248310034
yfit_13_fit2_smooth500.0_season1_seapar1.0,AMPL,88,0.9428571428571428,1.0,1607.1352723861137,1136.433875982182,681.6370910072955
yfit_13_fit2_smooth500.0_season1_seapar1.0,EOSD,88,0.8285714285714286,1.0,1698.1378878567991,1204.345063409091,713.9029022727274
yfit_13_fit2_smooth500.0_season1_seapar1.0,EOSV,88,1.0,1.0,1607.0526599582752,1136.3656065813068,681.7913507319886
yfit_13_fit2_smooth500.0_season1_seapar1.0,LENGTH,88,0.8857142857142857,1.0,1664.4759080749463,1180.8403622727271,674.2579737272728
yfit_13_fit2_smooth500.0_season1_seapar1.0,LSLOPE,88,0.8857142857142857,1.0,1606.9063036633079,1136.2548398974448,681.7469901587301
yfit_13_fit2_smooth500.0_season1_seapar1.0,MAXV,88,1.0,1.0,1607.139581889908,1136.4288450692045,681.7354640680683
yfit_13_fit2_smooth500.0_season1_seapar1.0,MINV,88,1.0,1.0,1607.0765298260512,1136.3838143701591,681.8483730648613
yfit_13_fit2_smooth500.0_season1_seapar1.0,RSLOPE,88,1.0,1.0,1606.9067266555057,1136.2550357767839,681.7472373815305
yfit_13_fit2_smooth500.0_season1_seapar1.0,SOSD,88,0.8285714285714286,1.0,1681.797894274805,1193.570215022727,721.394926340909
yfit_13_fit2_smooth500.0_season1_seapar1.0,SOSV,88,1.0,1.0,1607.0593426643356,1136.3703669093636,681.7924864064091
yfit_13_fit2_smooth500.0_season1_seapar1.0,SPROD,88,0.8857142857142857,1.0,1606.9509083337646,1136.2901378316192,681.7184165944376
yfit_13_fit2_smooth500.0_season1_seapar1.0,TPROD,88,0.8857142857142857,1.0,1606.9573408978567,1136.2925904757726,681.7350504833637
yfit_14_fit2_smooth1000.0_season1_seapar1.0,AMPL,88,0.9428571428571428,1.0,1673.6972726353058,1250.060938512375,795.2655618240568
yfit_14_fit2_smooth1000.0_season1_seapar1.0,EOSD,88,0.8285714285714286,1.0,1762.0270872018075,1318.2566948409092,830.3519089318182
yfit_14_fit2_smooth1000.0_season1_seapar1.0,EOSV,88,1.0,1.0,1673.6182047574491,1249.9998858110228,795.4208037787502
yfit_14_fit2_smooth1000.0_season1_seapar1.0,LENGTH,88,0.8857142857142857,1.0,1734.9546431057556,1298.8083807045455,790.1305784545453
yfit_14_fit2_smooth1000.0_season1_seapar1.0,LSLOPE,88,0.8857142857142857,1.0,1673.4659327595143,1249.8794440656511,795.3726519685285
yfit_14_fit2_smooth1000.0_season1_seapar1.0,MAXV,88,1.0,1.0,1673.70350410409,1250.0620855501136,795.3671928042045
yfit_14_fit2_smooth1000.0_season1_seapar1.0,MINV,88,1.0,1.0,1673.6402418018158,1250.015255934583,795.4766309815442
yfit_14_fit2_smooth1000.0_season1_seapar1.0,RSLOPE,88,1.0,1.0,1673.4658751417448,1249.8793350244648,795.3722359631273
yfit_14_fit2_smooth1000.0_season1_seapar1.0,SOSD,88,0.8285714285714286,1.0,1743.4624895207269,1304.2695769431818,835.5963311931818
yfit_14_fit2_smooth1000.0_season1_seapar1.0,SOSV,88,1.0,1.0,1673.6236294952987,1250.0036727773863,795.4230200110228
yfit_14_fit2_smooth1000.0_season1_seapar1.0,SPROD,88,0.8857142857142857,1.0,1673.5115564485056,1249.9155169090204,795.3443628227932
yfit_14_fit2_smooth1000.0_season1_seapar1.0,TPROD,88,0.8857142857142857,1.0,1673.519350870463,1249.920312531284,795.3615653139888
