TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,database,zScore_DTvsNT_VUT
2021-03-30,0.910937,5.40314,1.94356,4.60101,2.8333,fluxnet_archive,1.0566666666666664
2021-03-31,0.958333,5.38878,2.10044,4.60066,2.87068,fluxnet_archive,1.0295032397408208
2021-04-01,0.992708,5.68958,2.249,4.98204,3.05821,fluxnet_archive,1.1690640748740098
2021-04-02,1.0,6.16766,2.57665,5.64003,3.54317,fluxnet_archive,1.2936357091432689
2021-04-03,0.969792,5.3874,2.23885,5.09009,3.28222,fluxnet_archive,1.085579553635709
2021-04-04,0.893229,2.43458,1.22662,2.69285,1.48779,fluxnet_archive,0.6515910727141828
2021-04-05,0.902083,4.24866,2.05323,4.14629,2.23024,fluxnet_archive,1.1634629229661626
2021-04-06,1.0,3.86149,2.51818,3.46306,3.20968,fluxnet_archive,0.03356371490280781
2021-04-07,1.0,4.35229,2.64978,4.0648,3.5631,fluxnet_archive,0.1452123830093593
2021-04-08,0.950521,4.71592,2.65181,4.567,3.22118,fluxnet_archive,0.7529301655867532
2021-04-09,1.0,4.73807,2.3078,4.64637,2.71234,fluxnet_archive,1.1764074874010078
2021-04-10,0.996875,1.6484,0.547915,2.30077,0.65047,fluxnet_archive,0.9721382289416847
2021-04-11,0.957292,2.94642,1.21401,3.23372,1.71794,fluxnet_archive,0.875291576673866
2021-04-12,1.0,4.52538,2.53793,4.51087,3.8987,fluxnet_archive,0.22474442044636422
2021-04-13,0.999479,5.53225,3.41842,5.33268,4.9272,fluxnet_archive,0.07593952483801285
2021-04-14,0.982813,5.36594,3.90551,5.57754,5.10818,fluxnet_archive,0.12192944564434846
2021-04-17,0.857812,4.79491,2.0136,4.73641,4.39631,fluxnet_archive,0.028869690424766396
2021-04-18,0.873437,5.09504,2.27362,5.26607,4.51483,fluxnet_archive,0.32486681065514766
2021-04-19,0.848958,6.26989,2.99476,6.05998,5.32236,fluxnet_archive,0.31506119510439207
2021-04-26,0.860937,0.637559,1.17197,1.33619,1.52799,fluxnet_archive,0.3540676745860331
2021-04-27,0.843229,3.2796,3.19972,3.97436,3.6895,fluxnet_archive,0.01089992800575945
2021-04-28,0.865104,3.17258,2.98248,4.03165,3.42839,fluxnet_archive,0.2183297336213104
2021-04-29,0.913542,2.76229,4.16117,3.67657,3.53272,fluxnet_archive,0.11241900647948161
2021-04-30,0.930208,1.77928,5.17581,2.23635,2.99076,fluxnet_archive,0.7591144708423326
2021-05-01,0.922917,0.839247,3.98194,1.45551,2.01989,fluxnet_archive,0.6223038156947445
2021-05-02,1.0,7.96385,6.27703,7.99166,6.68433,fluxnet_archive,0.7252195824334056
2021-05-03,0.944792,8.72418,6.68648,9.38089,7.74837,fluxnet_archive,0.9593376529877612
2021-05-04,0.928646,9.69202,6.63829,10.284,7.29344,fluxnet_archive,1.937048236141109
2021-05-05,0.942708,9.24684,7.53248,8.86679,7.85112,fluxnet_archive,0.5152411807055436
2021-05-06,0.947917,8.04925,5.63129,8.28805,5.75073,fluxnet_archive,1.6107415406767462
2021-05-07,0.968229,10.4511,8.04327,9.71546,8.16564,fluxnet_archive,0.8997984161267101
2021-05-08,0.961979,11.5701,9.23816,11.7377,9.50158,fluxnet_archive,1.393894888408927
2021-05-09,0.824479,4.7054,3.97924,5.98451,3.58116,fluxnet_archive,1.5142908567314617
2021-05-12,0.997917,10.1264,7.03941,10.2623,6.88916,fluxnet_archive,2.212483801295896
2021-05-14,0.914062,12.1095,9.32908,12.0679,9.49286,fluxnet_archive,1.6378977681785456
2021-05-15,0.971354,7.91279,6.62899,8.75333,6.82592,fluxnet_archive,1.1716414686825054
2021-05-16,0.934896,8.75249,7.83678,10.0793,8.40879,fluxnet_archive,0.986688264938805
2021-05-17,1.0,12.3054,10.8307,12.065,11.9408,fluxnet_archive,0.12656587473002154
2021-05-18,0.978125,10.845,7.92614,10.8388,8.66867,fluxnet_archive,1.3463858891288698
2021-05-19,1.0,14.1602,10.849,13.578,11.962,fluxnet_archive,0.9474442044636426
2021-05-20,0.992188,14.6939,10.1223,13.8048,11.7197,fluxnet_archive,1.2851691864650832
2021-05-21,0.999479,11.4708,7.8019,11.4884,9.41662,fluxnet_archive,1.2755795536357093
2021-05-22,0.924479,13.7727,8.49851,13.4458,11.3978,fluxnet_archive,1.2584593232541397
2021-05-23,0.978646,14.3477,7.77204,13.1029,10.9759,fluxnet_archive,1.315334773218143
2021-05-24,0.917188,7.50123,3.95112,7.43188,6.07926,fluxnet_archive,0.7578257739380848
2021-05-25,0.997396,14.6589,9.04786,13.3498,11.499,fluxnet_archive,1.1164866810655143
2021-05-26,0.867187,15.4324,9.99856,14.4232,12.0798,fluxnet_archive,1.4711303095752335
2021-05-27,0.932292,15.4246,9.25049,14.5756,10.9007,fluxnet_archive,2.4297336213102945
