TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,database,zScore_DTvsNT_VUT
2021-01-07,0.966146,0.0478596,,0.0810493,0.0575177,fluxnet_archive,0.19904132469402447
2021-01-08,0.977083,0.117009,0.0,0.0649493,0.0381717,fluxnet_archive,0.1967043916486681
2021-01-09,0.983333,0.255047,0.0136628,0.0412621,0.0371389,fluxnet_archive,0.21301425485961123
2021-01-12,0.995833,0.451481,0.231388,0.36338,0.234249,fluxnet_archive,0.12301583873290138
2021-01-13,1.0,0.561774,0.349909,0.588284,0.331524,fluxnet_archive,0.031130309575233942
2021-01-14,1.0,0.796883,0.448724,0.842763,0.402344,fluxnet_archive,0.10109359251259904
2021-01-15,0.966146,0.565833,0.427328,0.409604,0.333312,fluxnet_archive,0.16105687544996397
2021-01-16,0.989583,0.534706,0.472485,0.382513,0.471587,fluxnet_archive,0.2801108711303096
2021-01-17,1.0,1.044,0.452949,1.06933,0.515515,fluxnet_archive,0.18273218142548592
2021-01-18,0.997917,0.171624,0.391054,0.268133,0.511445,fluxnet_archive,0.3911533477321814
2021-01-19,0.978646,0.505141,0.345099,0.543061,0.513046,fluxnet_archive,0.19437365010799135
2021-01-20,0.995833,0.496516,0.311607,0.553991,0.579042,fluxnet_archive,0.23401799856011513
2021-01-21,0.994271,0.881758,0.396301,0.856635,0.59669,fluxnet_archive,0.02883729301655868
2021-01-22,0.99375,0.214289,0.301002,0.485778,0.262094,fluxnet_archive,0.05494312455003599
2021-01-23,1.0,0.496037,0.573146,0.647363,0.51631,fluxnet_archive,0.12163210943124551
2021-01-24,,0.0959582,0.512714,0.171181,0.486176,fluxnet_archive,0.44276097912167023
2021-01-25,,0.861884,0.509007,0.937313,0.496948,fluxnet_archive,0.10105471562275015
2021-01-26,,0.21495,0.507365,0.35036,0.535937,fluxnet_archive,0.3495874730021598
2021-01-27,1.0,0.838317,0.557525,0.928783,0.587121,fluxnet_archive,0.029994240460763162
2021-01-28,0.995833,1.1869,0.697198,1.26725,0.71426,fluxnet_archive,0.18213822894168466
2021-01-29,1.0,0.404765,0.856163,0.633094,0.870093,fluxnet_archive,0.3866083513318935
2021-01-30,0.998437,1.36391,0.914383,1.4503,0.934077,fluxnet_archive,0.1556681065514758
2021-01-31,0.997917,0.941583,1.2811,1.03737,1.26077,fluxnet_archive,0.3768178545716343
2021-02-01,0.996875,1.08475,0.91691,0.656772,0.86543,fluxnet_archive,0.3662044636429086
2021-02-02,0.99375,0.914695,1.65957,1.07774,1.6226,fluxnet_archive,0.6082505399568036
2021-02-03,1.0,1.42845,1.00112,1.28663,1.12625,fluxnet_archive,0.1005183585313175
2021-02-04,0.995313,1.79907,0.999765,1.65774,1.17274,fluxnet_archive,0.13318934485241188
2021-02-06,1.0,1.13684,0.478409,1.04739,0.41593,fluxnet_archive,0.23863210943124552
2021-02-07,0.999479,1.35615,1.12078,1.10431,0.999381,fluxnet_archive,0.1404398848092153
2021-02-08,1.0,1.14863,1.4848,1.28849,1.38134,fluxnet_archive,0.2828293736501081
2021-02-09,0.996875,1.87362,1.66057,1.79714,1.5062,fluxnet_archive,0.006522678185745149
2021-02-10,0.988021,1.44306,1.41462,1.2831,1.26686,fluxnet_archive,0.2042908567314616
2021-02-11,1.0,1.05555,1.30557,1.06593,1.28838,fluxnet_archive,0.3761339092872571
2021-02-12,0.997396,0.936271,0.21091,0.624255,0.296736,fluxnet_archive,0.01981209503239742
2021-02-15,0.994271,0.693227,0.69482,0.430218,0.871403,fluxnet_archive,0.5336105111591073
2021-02-16,0.963021,1.63076,0.794296,1.1937,0.953722,fluxnet_archive,0.04321238300935922
2021-02-17,0.982292,1.26604,1.17697,1.0628,1.24128,fluxnet_archive,0.3444780417566594
2021-02-18,0.90625,1.24837,1.12086,1.21832,1.24668,fluxnet_archive,0.2364002879769618
2021-02-19,0.9375,1.17344,1.05918,1.27222,1.22468,fluxnet_archive,0.18175665946724268
2021-02-20,0.93125,0.858765,1.08572,0.85668,1.21924,fluxnet_archive,0.47700503959683227
2021-02-21,0.996354,1.00325,0.763276,1.16144,0.847691,fluxnet_archive,0.009898488120950372
2021-02-22,0.990104,0.654401,0.462204,1.1007,0.571354,fluxnet_archive,0.16511591072714182
2021-02-23,0.998958,1.88683,1.39375,2.07578,1.66014,fluxnet_archive,0.08325413966882651
2021-02-24,1.0,2.38774,1.7287,2.35181,1.9031,fluxnet_archive,0.10706263498920084
2021-02-25,0.997917,2.30447,2.08436,2.37812,1.98734,fluxnet_archive,0.06535637149028072
2021-02-26,0.997917,2.67976,2.294,2.7043,2.11011,fluxnet_archive,0.21179985601151893
2021-02-27,1.0,0.585652,1.08192,0.835988,1.13575,fluxnet_archive,0.4317940964722823
2021-02-28,0.989062,2.78027,2.07953,2.91875,2.12875,fluxnet_archive,0.3527717782577394
2021-03-01,0.964583,2.5356,2.40541,2.73149,2.53284,fluxnet_archive,0.0729661627069836
2021-03-02,0.991146,2.81799,2.28836,3.02425,2.46956,fluxnet_archive,0.18336213102951757
2021-03-03,0.995833,2.36757,1.64555,2.4569,1.99584,fluxnet_archive,0.11595392368610513
2021-03-04,0.994271,2.61584,2.30313,2.91731,2.55772,fluxnet_archive,0.042901367890568656
2021-03-05,0.982292,2.34966,2.97392,2.29795,2.90079,fluxnet_archive,0.649992800575954
2021-03-06,0.945833,1.13872,1.268,0.974693,1.19816,fluxnet_archive,0.3768660907127429
2021-03-07,0.945833,2.08378,2.20107,1.91714,2.14552,fluxnet_archive,0.3804031677465802
2021-03-08,0.974479,3.17073,2.70584,3.02826,2.74641,fluxnet_archive,0.013066954643628548
2021-03-09,0.991146,2.60906,1.7811,2.63701,1.91632,fluxnet_archive,0.3028725701943845
2021-03-10,0.9875,3.81357,2.86248,3.87117,3.03535,fluxnet_archive,0.385759539236861
2021-03-11,1.0,3.6566,2.02184,3.67833,2.14935,fluxnet_archive,0.8847948164146866
2021-03-12,0.999479,2.59867,2.67116,2.84378,2.77256,fluxnet_archive,0.1647084233261337
2021-03-13,1.0,2.90404,3.21339,3.22689,3.27015,fluxnet_archive,0.24712742980561558
2021-03-14,,4.81336,3.4899,4.88864,3.56747,fluxnet_archive,0.7351835853131745
2021-03-15,,5.32215,3.94368,5.36445,3.93226,fluxnet_archive,0.815111591072714
2021-03-16,,4.19613,3.92853,4.21161,3.80871,fluxnet_archive,0.07408207343412546
2021-03-17,,3.56807,3.57522,3.66149,3.32652,fluxnet_archive,0.02517638588912903
2021-03-18,1.0,3.18633,3.70257,3.22154,3.37787,fluxnet_archive,0.32853131749460046
2021-03-19,0.984375,2.43977,3.03211,2.71011,2.69959,fluxnet_archive,0.2084089272858174
2021-03-20,1.0,3.1553,4.21256,3.37671,3.83655,fluxnet_archive,0.5470410367170625
2021-03-21,0.998958,3.49745,3.86552,3.58546,3.46906,fluxnet_archive,0.13218142548596107
2021-03-22,0.998437,3.45118,3.4314,3.56294,2.83766,fluxnet_archive,0.30617710583153357
2021-03-25,0.88125,3.52318,3.52221,3.36376,3.4175,fluxnet_archive,0.25467242620590347
2021-03-26,0.963542,3.55313,3.39589,3.47104,3.42528,fluxnet_archive,0.18303815694744419
2021-03-27,0.966667,3.33978,3.38109,3.15882,3.42845,fluxnet_archive,0.4101007919366453
2021-03-28,0.952083,3.55242,3.34413,3.46423,3.3775,fluxnet_archive,0.15354211663066938
2021-03-29,0.98125,4.12071,3.34152,4.05762,3.34393,fluxnet_archive,0.29783297336213116
2021-03-30,0.999479,5.23124,3.33609,5.19709,3.31786,fluxnet_archive,1.1369546436285098
2021-03-31,1.0,5.17977,3.27126,5.3078,3.24783,fluxnet_archive,1.2670770338372932
2021-04-01,1.0,5.66644,3.71516,5.81462,3.71749,fluxnet_archive,1.2938300935925122
2021-04-02,0.999479,5.86303,4.80033,6.22502,4.8595,fluxnet_archive,0.7671130309575234
2021-04-03,0.997396,5.43624,4.81903,5.687,4.88829,fluxnet_archive,0.3590424766018724
2021-04-04,0.99375,4.93173,3.76351,5.11274,3.84535,fluxnet_archive,0.6964650827933764
2021-04-05,0.976563,7.17593,5.75943,7.28338,5.89502,fluxnet_archive,0.783556515478762
2021-04-06,0.990104,7.49094,5.56779,7.45292,5.71597,fluxnet_archive,1.0345212383009355
2021-04-07,0.929167,5.63956,5.56817,5.37761,5.71329,fluxnet_archive,0.4576529877609791
2021-04-08,0.9,4.67622,4.59542,4.54337,4.76856,fluxnet_archive,0.3781065514758816
2021-04-09,1.0,4.44353,4.55095,4.50172,4.72307,fluxnet_archive,0.37534197264218877
2021-04-10,,2.27178,2.45562,2.28103,2.56438,fluxnet_archive,0.41997840172786177
2021-04-11,,3.65832,4.08391,3.85406,4.30266,fluxnet_archive,0.5389488840892731
2021-04-12,,5.67378,5.55972,6.03631,5.96084,fluxnet_archive,0.16164866810655135
2021-04-13,1.0,4.02951,5.70713,4.48362,5.64567,fluxnet_archive,1.0525917926565873
2021-04-14,0.99375,3.8124,5.90213,4.45022,4.84675,fluxnet_archive,0.5014614830813537
2021-04-15,0.913021,2.17447,4.18382,2.78752,2.88066,fluxnet_archive,0.2830381569474442
2021-04-17,0.98125,3.69821,5.07837,4.70711,4.2064,fluxnet_archive,0.14449964002879753
2021-04-18,1.0,4.62051,5.16662,5.49235,4.97327,fluxnet_archive,0.15772498200143972
2021-04-19,0.965625,4.99161,5.967,6.02899,6.10062,fluxnet_archive,0.2675521958243339
2021-04-20,0.999479,5.11267,5.07412,5.80361,5.13378,fluxnet_archive,0.2662562994960404
2021-04-21,1.0,3.68483,3.14989,4.14891,3.19137,fluxnet_archive,0.47339092872570177
2021-04-22,0.957812,5.90731,5.62113,6.40484,5.64396,fluxnet_archive,0.3318070554355653
2021-04-23,0.995313,6.34234,5.77674,6.76314,5.79933,fluxnet_archive,0.4779049676025915
2021-04-24,0.952083,6.23944,5.67171,6.79835,5.7032,fluxnet_archive,0.5724622030237583
2021-04-25,0.867708,5.766,5.15245,6.62881,5.18834,fluxnet_archive,0.821072714182865
2021-06-29,0.986458,11.3712,8.98959,11.7379,8.92489,fluxnet_archive,1.809222462203024
2021-06-30,1.0,11.5125,8.39725,12.09,8.60686,fluxnet_archive,2.2916774658027363
2021-07-01,1.0,10.1624,8.07608,10.5974,8.54501,fluxnet_archive,1.2616198704103678
2021-07-02,0.999479,8.76057,7.70886,8.87805,8.39817,fluxnet_archive,0.12950323974082048
2021-07-03,0.963542,7.62077,5.4702,7.29666,6.44011,fluxnet_archive,0.40068394528437745
2021-07-04,0.857292,7.92415,5.39824,7.62812,6.27256,fluxnet_archive,0.7599424046076311
2021-07-05,0.993229,9.62388,6.68516,9.65756,6.8371,fluxnet_archive,1.8145860331173504
2021-07-06,0.958854,7.75589,6.45977,7.42819,6.21991,fluxnet_archive,0.6539092872570196
2021-07-07,0.940625,8.45836,7.64939,7.93215,7.46909,fluxnet_archive,0.11739380849532072
2021-07-08,0.990104,4.01242,6.42624,3.83989,6.30435,fluxnet_archive,1.9902519798416127
2021-07-09,0.998437,8.85139,7.25808,9.14622,7.47766,fluxnet_archive,0.9852843772498195
