t,EVI2
2021-01-10,
2021-01-15,0.6130182
2021-01-20,
2021-01-25,
2021-01-30,
2021-02-04,
2021-02-09,
2021-02-14,
2021-02-19,0.6092039
2021-02-24,0.6336312
2021-03-01,0.6224468
2021-03-06,
2021-03-11,
2021-03-16,
2021-03-21,
2021-03-26,0.60195136
2021-03-31,0.57834905
2021-04-05,0.55417573
2021-04-10,
2021-04-15,0.48100308
2021-04-20,0.4375009
2021-04-25,
2021-04-30,
2021-05-05,
2021-05-10,
2021-05-15,
2021-05-20,
2021-05-25,
2021-05-30,
2021-06-04,
2021-06-09,0.31457028
2021-06-14,0.2796712
2021-06-19,0.24909478
2021-06-24,
2021-06-29,
2021-07-04,
2021-07-09,
2021-07-14,
2021-07-19,0.30501908
2021-07-24,
2021-07-29,0.26833704
2021-08-03,
2021-08-08,
2021-08-13,
2021-08-18,0.23235178
2021-08-23,
2021-08-28,0.20425457
2021-09-02,
2021-09-07,
2021-09-12,0.1968804
2021-09-17,0.2860844
2021-09-22,0.3695379
2021-09-27,
2021-10-02,
2021-10-07,
2021-10-12,0.5412174
2021-10-17,0.530144
2021-10-22,
2021-10-27,0.48812446
2021-11-01,
2021-11-06,
2021-11-11,
2021-11-16,
2021-11-21,
2021-11-26,
2021-12-01,
2021-12-06,
2021-12-11,
2021-12-16,0.48445183
2021-12-21,0.46969074
2021-12-26,
2021-12-31,0.47821546
2022-01-05,
2022-01-10,
2022-01-15,0.48792958
2022-01-20,
2022-01-25,0.33312413
2022-01-30,
2022-02-04,
2022-02-09,0.4066764
2022-02-14,
2022-02-19,
2022-02-24,
2022-03-01,
2022-03-06,
2022-03-11,
2022-03-16,
2022-03-21,0.5723363
2022-03-26,0.5851899
2022-03-31,
2022-04-05,0.5826304
2022-04-10,
2022-04-15,
2022-04-20,
2022-04-25,
2022-04-30,
2022-05-05,
2022-05-10,
2022-05-15,
2022-05-20,
2022-05-25,
2022-05-30,0.32248384
2022-06-04,
2022-06-09,0.2274591
2022-06-14,0.20084941
2022-06-19,
2022-06-24,
2022-06-29,0.1511035
2022-07-04,
2022-07-09,0.16798615
2022-07-14,0.1533814
2022-07-19,0.13707832
2022-07-24,0.13664886
2022-07-29,
2022-08-03,0.13327442
2022-08-08,0.13979462
2022-08-13,0.13104016
2022-08-18,
2022-08-23,
2022-08-28,0.12635916
2022-09-02,
2022-09-07,
2022-09-12,0.11273671
2022-09-22,0.11802832
2022-09-27,
2022-10-02,
