t,EVI2
2019-01-07,0.091035746
2019-01-10,0.118019104
2019-01-12,0.13965993
2019-01-15,
2019-01-17,
2019-01-20,0.11980073
2019-01-22,0.2115264
2019-01-25,0.14184937
2019-01-27,
2019-01-30,
2019-02-01,
2019-02-04,
2019-02-06,
2019-02-09,
2019-02-11,
2019-02-14,
2019-02-16,0.23342676
2019-02-19,0.15559252
2019-02-21,0.17678936
2019-02-24,0.14725085
2019-02-26,
2019-03-01,
2019-03-03,0.17567176
2019-03-06,
2019-03-08,
2019-03-11,
2019-03-13,0.18457423
2019-03-16,
2019-03-18,0.18492076
2019-03-21,0.18465564
2019-03-23,0.19483535
2019-03-26,0.1812018
2019-03-28,0.19488917
2019-03-31,0.17938136
2019-04-02,
2019-04-05,0.2100682
2019-04-07,
2019-04-10,
2019-04-12,
2019-04-15,
2019-04-17,
2019-04-20,
2019-04-22,
2019-04-25,
2019-04-27,
2019-04-30,0.44616416
2019-05-02,
2019-05-05,
2019-05-07,
2019-05-10,0.5639522
2019-05-12,
2019-05-15,
2019-05-17,
2019-05-20,0.5991598
2019-05-25,
2019-05-27,
2019-05-30,0.6925273
2019-06-01,0.7255629
2019-06-04,0.65718406
2019-06-06,
2019-06-09,
2019-06-11,
2019-06-14,0.63983554
2019-06-16,0.73655677
2019-06-19,0.6590224
2019-06-21,
2019-06-24,0.66853005
2019-06-26,
2019-06-29,0.505738
2019-07-01,0.69807214
2019-07-04,0.6590483
2019-07-06,0.6774455
2019-07-09,0.67411363
2019-07-11,
2019-07-14,0.65060675
2019-07-16,0.71129304
2019-07-19,0.622794
2019-07-21,
2019-07-24,0.5995485
2019-07-26,0.6724486
2019-07-29,0.65478456
2019-07-31,0.63741297
2019-08-03,0.6504493
2019-08-05,0.5884899
2019-08-08,0.6304864
2019-08-10,0.61600375
2019-08-13,
2019-08-15,0.6374339
2019-08-18,0.5897493
2019-08-20,
2019-08-23,
2019-08-25,0.61359537
2019-08-28,
2019-08-30,0.62110734
2019-09-02,0.58024615
2019-09-04,0.329303
2019-09-07,
2019-09-09,0.6018718
2019-09-12,0.5444249
2019-09-14,0.5870316
2019-09-17,0.5072006
2019-09-19,
2019-09-22,
2019-09-24,
2019-09-27,0.45808455
2019-09-29,0.53496486
2019-10-02,0.50376093
2019-10-04,0.5190113
2019-10-07,0.49129
2019-10-09,
2019-10-12,
2019-10-14,
2019-10-17,0.40927756
2019-10-19,
2019-10-22,
2019-10-24,
2019-10-27,0.34579703
2019-10-29,
2019-11-01,
2019-11-03,
2019-11-06,0.25845256
2019-11-08,0.2904416
2019-11-11,
2019-11-13,0.26978704
2019-11-16,
2019-11-18,
2019-11-21,
2019-11-23,
2019-11-26,
2019-11-28,0.14561358
2019-12-01,
2019-12-03,
2019-12-06,0.13277839
2019-12-08,0.18977726
2019-12-11,
2019-12-13,
2019-12-16,
2019-12-18,
2019-12-21,0.081796646
2019-12-23,
2019-12-26,
2019-12-28,
2019-12-31,
2020-01-02,0.069918014
2020-01-05,0.09745077
2020-01-07,0.061860815
2020-01-10,
2020-01-12,0.10208766
2020-01-15,0.1211053
2020-01-17,
2020-01-20,
2020-01-22,
2020-01-25,0.1401281
2020-01-27,
2020-01-30,0.12459672
2020-02-01,
2020-02-04,
2020-02-06,
2020-02-09,0.14773577
2020-02-11,
2020-02-14,0.15184246
2020-02-16,
2020-02-19,
2020-02-21,
2020-02-24,0.15643449
2020-02-26,
2020-02-29,
2020-03-02,
2020-03-05,
2020-03-07,0.18560655
2020-03-10,
2020-03-12,
2020-03-15,
2020-03-17,0.16497524
2020-03-20,
2020-03-22,
2020-03-25,
2020-03-27,
2020-03-30,
2020-04-01,
2020-04-04,0.17748122
2020-04-06,0.20636941
2020-04-09,0.2179716
2020-04-11,0.2616643
2020-04-14,0.30124423
2020-04-16,
2020-04-19,
2020-04-21,
2020-04-24,0.45113382
2020-04-26,
2020-04-29,0.52181077
2020-05-01,
2020-05-04,0.6069845
2020-05-06,0.6840664
2020-05-09,0.63711274
2020-05-11,
2020-05-14,
2020-05-16,
2020-05-19,
2020-05-21,0.71186966
2020-05-24,
2020-05-26,0.7774051
2020-05-29,
2020-05-31,0.4330168
2020-06-03,0.7167984
2020-06-05,0.8355167
2020-06-08,
2020-06-10,
2020-06-13,
2020-06-15,0.7593063
2020-06-18,
2020-06-20,0.7296706
2020-06-23,0.6676044
2020-06-25,0.6838901
2020-06-28,
2020-06-30,0.7017301
2020-07-03,
2020-07-05,0.7275061
2020-07-08,0.7020231
2020-07-10,0.7026361
2020-07-13,
2020-07-15,
2020-07-18,
2020-07-20,0.68492216
2020-07-23,0.6352232
2020-07-25,0.7127141
2020-07-28,0.6154755
2020-07-30,0.65165377
2020-08-02,
2020-08-04,0.6763396
2020-08-07,0.5951638
2020-08-09,0.641637
2020-08-12,0.55653256
2020-08-14,0.6773803
2020-08-17,0.6106209
2020-08-19,0.6389511
2020-08-22,0.60465795
2020-08-24,0.6735665
2020-08-27,0.5697333
2020-08-29,
2020-09-01,0.5692891
2020-09-03,
2020-09-06,0.539507
2020-09-08,0.5790969
2020-09-11,
2020-09-13,0.5541233
2020-09-16,0.5046502
2020-09-18,0.52495396
2020-09-21,
2020-09-23,0.49221015
2020-09-26,0.49016657
2020-09-28,0.5109144
2020-10-01,
2020-10-03,
2020-10-06,
2020-10-08,0.4788605
2020-10-11,0.47486514
2020-10-13,0.48381913
2020-10-16,
2020-10-18,
2020-10-21,
2020-10-23,
2020-10-26,
2020-10-28,0.37056452
2020-10-31,0.29443496
2020-11-02,0.2685066
2020-11-05,0.25468662
2020-11-07,0.23630042
2020-11-10,0.22260565
2020-11-12,
2020-11-15,
2020-11-17,0.21427298
2020-11-20,0.19387351
2020-11-22,0.19212438
2020-11-25,0.1964532
2020-11-27,0.21636593
2020-11-30,0.15917744
2020-12-02,
2020-12-05,
2020-12-07,
2020-12-10,
2020-12-12,
2020-12-15,
2020-12-17,0.04084133
2020-12-20,
2020-12-22,
2020-12-25,
2020-12-27,
2020-12-30,-0.020040644
2021-01-01,
2021-01-04,
2021-01-06,
2021-01-09,
2021-01-11,
2021-01-14,0.18028422
2021-01-16,0.20973688
2021-01-19,0.14651178
2021-01-21,
2021-01-24,0.16192475
2021-01-26,
2021-01-29,
2021-01-31,0.20642322
2021-02-03,
2021-02-05,
2021-02-08,0.16813296
2021-02-10,
2021-02-13,
2021-02-15,
2021-02-18,
2021-02-20,
2021-02-23,0.17924438
2021-02-25,0.1656361
2021-02-28,
2021-03-02,0.17724453
2021-03-05,0.16393927
2021-03-07,
2021-03-10,0.17813312
2021-03-12,
2021-03-15,
2021-03-17,
2021-03-20,0.18060519
2021-03-22,
2021-03-25,
2021-03-27,0.19969074
2021-03-30,0.18429779
2021-04-01,0.21302444
2021-04-04,
2021-04-06,
2021-04-09,0.23558678
2021-04-11,
2021-04-14,0.2842925
2021-04-16,
2021-04-19,0.31048125
2021-04-21,
2021-04-24,0.36207852
2021-04-26,
2021-04-29,
2021-05-01,
2021-05-04,
2021-05-06,
2021-05-09,
2021-05-11,
2021-05-14,
2021-05-16,0.37874213
2021-05-19,0.631939
2021-05-21,
2021-05-24,
2021-05-26,0.6987383
2021-05-29,
2021-05-31,
2021-06-03,
2021-06-05,
2021-06-08,
2021-06-10,
2021-06-13,0.6701293
2021-06-15,
2021-06-18,
2021-06-20,0.6935223
2021-06-23,
2021-06-25,0.7206429
2021-06-28,
2021-06-30,0.71127707
2021-07-03,
2021-07-05,
2021-07-08,
2021-07-10,0.68464696
2021-07-13,0.703214
2021-07-15,
2021-07-18,0.6337724
2021-07-20,0.68018824
2021-07-23,0.60467905
2021-07-25,
2021-07-28,
2021-07-30,0.67693347
2021-08-02,0.6468714
2021-08-04,
2021-08-07,
2021-08-09,0.6652787
2021-08-12,0.5789598
2021-08-14,0.60414404
2021-08-17,
2021-08-19,0.6024841
2021-08-22,0.60663474
2021-08-24,
2021-08-27,0.49513716
2021-08-29,0.5831203
2021-09-01,0.5146223
2021-09-03,
2021-09-06,0.47646457
2021-09-08,
2021-09-11,0.4993518
2021-09-13,0.506601
2021-09-16,
2021-09-18,0.5429497
2021-09-21,0.51636714
2021-09-23,
2021-09-26,
2021-09-28,
2021-10-01,0.21777566
2021-10-03,
2021-10-06,0.4668584
2021-10-08,0.47750458
2021-10-11,0.4679997
2021-10-13,0.4953158
2021-10-16,0.28546858
2021-10-18,0.49766514
2021-10-21,0.46001184
2021-10-23,0.44213927
2021-10-26,0.41428953
2021-10-28,
2021-10-31,
2021-11-02,
2021-11-05,0.3606191
2021-11-07,
2021-11-10,
2021-11-12,
2021-11-15,
2021-11-17,
2021-11-20,0.19670704
2021-11-22,
2021-11-25,
2021-11-27,0.18878849
2021-11-30,0.1429401
2021-12-02,0.14967605
2021-12-05,0.15642872
2021-12-07,0.12617819
2021-12-10,
2021-12-12,-0.022008585
2021-12-15,
2021-12-17,-0.02862864
2021-12-20,0.018837899
2021-12-22,0.07977194
2021-12-25,
2021-12-27,
2021-12-30,
2022-01-01,0.018912595
2022-01-04,
2022-01-06,0.06855671
2022-01-09,
2022-01-11,0.10774434
2022-01-14,0.14535238
2022-01-16,0.14975166
2022-01-19,0.1305282
2022-01-21,0.16179422
2022-01-24,0.16430381
2022-01-26,0.16540322
2022-01-29,0.1541232
2022-01-31,0.18263958
2022-02-03,
2022-02-05,0.16417424
2022-02-08,0.16706277
2022-02-10,0.1657967
2022-02-13,0.14214006
2022-02-15,0.15734637
2022-02-18,0.16867332
2022-02-20,
2022-02-23,0.17831035
2022-02-25,0.18239559
2022-02-28,0.18443741
2022-03-02,0.18438472
2022-03-05,
2022-03-07,0.17795332
2022-03-10,0.16787577
2022-03-12,
2022-03-15,
2022-03-17,
2022-03-20,0.122129336
2022-03-22,0.18570732
2022-03-25,0.18105832
2022-03-27,
2022-03-30,
2022-04-01,
2022-04-04,0.18467885
2022-04-06,
2022-04-09,0.20812826
2022-04-11,
2022-04-14,0.2296476
2022-04-16,
2022-04-19,0.33245537
2022-04-21,
2022-04-24,
2022-04-26,0.49909946
2022-04-29,
2022-05-01,
2022-05-04,
2022-05-06,
2022-05-09,
2022-05-11,0.68512315
2022-05-14,0.64307666
2022-05-16,
2022-05-19,0.7104945
2022-05-21,0.7306981
2022-05-24,
2022-05-26,
2022-05-29,0.6759419
2022-05-31,
2022-06-03,
2022-06-05,
2022-06-08,
2022-06-10,0.7407825
2022-06-13,0.68805045
2022-06-15,
2022-06-18,0.63881356
2022-06-20,0.67238134
2022-06-23,
2022-06-25,
2022-06-28,
2022-06-30,
2022-07-03,0.65392905
2022-07-05,0.722536
2022-07-08,0.6670231
2022-07-10,0.70183367
2022-07-13,0.61242455
2022-07-15,0.6900885
2022-07-18,0.61565924
2022-07-20,0.6226534
2022-07-23,
2022-07-25,0.63001627
2022-07-28,0.5391791
2022-07-30,0.6491778
2022-08-02,0.57450974
2022-08-04,0.6593766
2022-08-07,0.582383
2022-08-09,0.6055677
2022-08-12,0.3952014
2022-08-14,
2022-08-17,
2022-08-19,
2022-08-22,0.58113426
2022-08-24,0.5829577
2022-08-27,0.59757626
2022-08-29,0.5946263
2022-09-01,0.5682506
2022-09-03,
2022-09-06,
2022-09-08,0.56997645
2022-09-11,0.54144955
2022-09-13,
2022-09-16,0.5294766
2022-09-18,0.5471423
2022-09-21,
2022-09-23,
2022-09-26,0.5051702
2022-09-28,
2022-10-01,
2022-10-03,
2022-10-06,0.41721243
2022-10-08,
2022-10-11,0.46577793
2022-10-13,0.28386736
2022-10-16,
2022-10-18,0.47550705
2022-10-21,
2022-10-23,
2022-10-26,0.3794351
2022-10-28,
2022-10-31,0.3880568
2022-11-02,
2022-11-05,0.40011182
2022-11-10,0.37074503
2022-11-12,
2022-11-15,
2022-11-17,0.31281245
2022-11-20,0.2781863
2022-11-22,
2022-11-25,0.22226733
2022-11-27,
2022-11-30,
2022-12-02,
2022-12-05,0.1379984
2022-12-07,0.1419885
2022-12-10,
2022-12-15,
2022-12-17,-0.050475094
2022-12-20,
2022-12-22,
2022-12-25,
2022-12-27,0.048809856
2022-12-30,
2023-01-01,
2023-01-04,0.13785996
2023-01-06,0.04238344
2023-01-09,
2023-01-11,
2023-01-14,
2023-01-16,
2023-01-19,
2023-01-21,0.17451046
2023-01-24,
2023-01-26,0.15639296
2023-01-29,0.15673947
2023-01-31,0.19093585
2023-02-03,0.14812793
2023-02-05,0.14148173
2023-02-08,0.15196396
2023-02-10,0.16642858
2023-02-13,0.16713336
2023-02-15,0.18963659
2023-02-18,0.19451031
2023-02-20,0.1808249
2023-02-23,
2023-02-25,
2023-02-28,
2023-03-02,
2023-03-05,0.16995616
2023-03-07,
2023-03-10,
2023-03-12,0.17235729
2023-03-15,0.1674736
2023-03-17,
2023-03-20,0.1734681
2023-03-22,0.2014317
2023-03-25,0.18608314
2023-03-27,0.19870956
2023-03-30,0.18545784
2023-04-01,0.21834171
2023-04-04,
2023-04-06,
2023-04-09,0.22198683
2023-04-11,
2023-04-14,0.26414075
2023-04-16,0.28263283
2023-04-19,0.31246492
2023-04-21,
2023-04-24,0.37163898
2023-04-26,0.4323575
2023-04-29,
2023-05-01,
2023-05-04,0.23373617
2023-05-06,
2023-05-09,
2023-05-11,0.66506207
2023-05-14,
2023-05-16,
2023-05-19,
2023-05-21,
2023-05-24,0.657992
2023-05-26,0.6723112
2023-05-29,
2023-05-31,
2023-06-03,
2023-06-05,
2023-06-08,
2023-06-10,
2023-06-13,
2023-06-15,0.68570393
2023-06-18,
2023-06-20,
2023-06-23,0.6421225
2023-06-25,
2023-06-28,0.59912133
2023-06-30,
2023-07-03,0.6288503
2023-07-05,0.6603919
2023-07-08,
2023-07-10,0.62810177
2023-07-13,0.64463764
2023-07-15,0.6338943
2023-07-18,
2023-07-20,0.63988465
2023-07-23,0.575243
2023-07-25,
