t,EVI2
2021-11-13,
2021-11-18,
2021-11-23,0.2256767
2021-11-28,
2021-12-03,
2021-12-08,
2021-12-18,0.3457482
2021-12-23,
2022-01-02,
2022-01-07,
2022-01-12,
2022-01-17,
2022-01-22,
2022-01-27,
2022-02-01,
2022-02-06,
2022-02-11,
2022-02-16,
2022-02-21,
2022-02-26,
2022-03-03,0.60568786
2022-03-08,0.5720732
2022-03-13,0.5331352
2022-03-18,
2022-03-23,0.51434624
2022-03-28,0.5391352
2022-04-02,
2022-04-07,
2022-04-12,
2022-04-17,0.7111658
2022-04-22,0.65892744
2022-04-27,
2022-05-02,0.82085013
2022-05-07,
2022-05-12,
2022-05-17,
2022-05-22,0.61529934
2022-05-27,
2022-06-01,
2022-06-06,
2022-06-11,
2022-06-16,0.75175226
2022-06-21,
2022-06-26,
2022-07-01,
2022-07-06,
2022-07-11,
2022-07-16,0.58045155
2022-07-21,
2022-07-26,
2022-07-31,0.5390073
2022-08-05,
2022-08-10,0.4873351
2022-08-15,
2022-08-20,0.47211412
2022-08-25,
2022-08-30,
2022-09-04,
2022-09-09,
2022-09-14,
2022-09-19,
2022-09-24,
2022-09-29,
2022-10-04,0.58279663
2022-10-09,0.5415237
2022-10-14,
2022-10-19,
2022-10-24,
2022-10-29,
2022-11-03,
2022-11-08,
2022-11-13,0.783547
2022-11-18,
2022-11-23,0.7294523
2022-11-28,
2022-12-03,
2022-12-08,
2022-12-13,
2022-12-18,
2022-12-23,
2022-12-28,
2023-01-02,
2023-01-07,
2023-01-17,
2023-01-22,
2023-01-27,
2023-02-01,
2023-02-06,0.6006244
2023-02-11,
2023-02-16,
2023-02-21,0.56041944
2023-02-26,
2023-03-03,
2023-03-08,
2023-03-13,
2023-03-18,
2023-03-23,
2023-03-28,
2023-04-02,
2023-04-07,
2023-04-12,
2023-04-17,
2023-04-22,
2023-04-27,
2023-05-02,
2023-05-07,
2023-05-12,
2023-05-17,
2023-05-22,
2023-05-27,0.5008113
2023-06-01,0.55842334
2023-06-06,0.64215636
2023-06-11,
2023-06-16,0.6801061
2023-06-21,
2023-06-26,
2023-07-01,
2023-07-06,
2023-07-11,0.59295803
2023-07-16,
2023-07-21,
2023-07-26,
2023-07-31,
2023-08-05,0.69264865
2023-08-10,0.71395046
2023-08-15,
2023-08-20,0.6588838
2023-08-25,
2023-08-30,
2023-09-04,0.52130634
2023-09-09,0.4892352
2023-09-14,
2023-09-19,
2023-09-24,0.7601064
2023-09-29,
2023-10-04,
2023-10-09,
2023-10-14,
2023-10-19,
2023-10-24,
2023-10-29,
2023-11-03,
2023-11-08,
2023-11-13,
2023-11-18,
2023-11-28,
2023-12-03,
2023-12-08,
2023-12-13,0.6252669
2023-12-18,0.6263475
2023-12-23,
2023-12-28,
2024-01-02,
2024-01-07,
2024-01-12,
2024-01-17,
2024-01-22,
2024-01-27,0.59615713
2024-02-01,
2024-02-06,
2024-02-11,
2024-02-16,
2024-02-21,
2024-02-26,
2024-03-02,0.36124635
2024-03-07,0.68454814
2024-03-12,
2024-03-17,
2024-03-22,
2024-03-27,
2024-04-01,
2024-04-06,
2024-04-11,
2024-04-16,
2024-04-21,
2024-04-26,
2024-05-01,
2024-05-06,
2024-05-11,0.5197779
2024-05-16,
2024-05-21,
2024-05-26,
2024-05-31,
2024-06-05,
2024-06-10,
2024-06-15,
2024-06-20,
2024-06-25,0.6539876
2024-06-30,0.7604838
2024-07-05,
2024-07-10,
2024-07-15,0.7522804
2024-07-20,0.5397596
2024-07-25,
2024-07-30,0.6616073
2024-08-04,
2024-08-09,
2024-08-14,
2024-08-19,
2024-08-24,0.72540325
2024-08-29,0.51836354
2024-09-03,
2024-09-08,0.6939707
2024-09-13,0.31859484
2024-09-18,
2024-09-23,
2024-09-28,0.8904061
2024-10-03,
2024-10-08,
2024-10-13,
2024-10-18,
2024-10-23,0.67265224
2024-10-28,
2024-11-02,
2024-11-07,
2024-11-12,
2024-11-17,
2024-11-22,
2024-11-27,
2024-12-02,
2024-12-07,
2024-12-12,
2024-12-17,
2024-12-22,
2024-12-27,0.7494818
