t,FAPAR_mean
2019-09-11,0.6692727
2019-09-14,
2019-09-16,
2019-09-19,
2019-09-21,0.621936
2019-09-24,
2019-09-26,
2019-09-29,
2019-10-01,0.62846726
2019-10-04,0.46680215
2019-10-06,
2019-10-09,
2019-10-11,
2019-10-14,
2019-10-16,
2019-10-19,
2019-10-21,
2019-10-24,
2019-10-26,
2019-10-29,0.6191025
2019-10-31,0.6099554
2019-11-03,
2019-11-05,0.6358855
2019-11-08,
2019-11-10,
2019-11-13,
2019-11-15,
2019-11-18,
2019-11-20,
2019-11-23,
2019-11-28,
2019-11-30,0.20502232
2019-12-05,0.31281826
2019-12-08,
2019-12-15,
2019-12-18,
2019-12-25,
2019-12-28,
2020-01-04,0.43617734
2020-01-07,
2020-01-14,
2020-01-17,
2020-01-19,0.5405239
2020-01-22,0.5428768
2020-01-24,0.5481913
2020-01-27,
2020-01-29,
2020-02-01,
2020-02-03,0.5933785
2020-02-06,
2020-02-08,
2020-02-11,
2020-02-13,0.5994814
2020-02-16,
2020-02-18,
2020-02-21,0.60197693
2020-02-23,
2020-02-26,
2020-02-28,0.6297191
2020-03-02,
2020-03-04,
2020-03-07,
2020-03-09,
2020-03-12,
2020-03-14,0.59744227
2020-03-17,
2020-03-19,0.57947284
2020-03-22,0.5694995
2020-03-24,
2020-03-27,
2020-03-29,
2020-04-01,
2020-04-03,
2020-04-06,0.52917117
2020-04-08,
2020-04-11,0.3977166
2020-04-13,
2020-04-16,0.53325045
2020-04-18,
2020-04-21,0.5036309
2020-04-23,0.5200871
2020-04-26,
2020-04-28,
2020-05-01,
2020-05-03,
2020-05-06,
2020-05-08,
2020-05-11,0.54361045
2020-05-13,
2020-05-16,
2020-05-18,0.42767912
2020-05-21,
2020-05-23,
2020-05-26,
2020-05-28,
2020-05-31,0.5355149
2020-06-02,0.5292842
2020-06-05,
2020-06-07,
2020-06-10,0.5480836
2020-06-12,
2020-06-15,0.5700794
2020-06-17,
2020-06-20,
2020-06-22,0.57079065
2020-06-25,0.5729277
2020-06-27,0.58640504
2020-06-30,
2020-07-02,
2020-07-05,
2020-07-07,
2020-07-10,
2020-07-12,
2020-07-15,
2020-07-17,
2020-07-20,
2020-07-22,0.60139656
2020-07-25,0.6479135
2020-07-27,
2020-07-30,
2020-08-01,0.61816734
2020-08-04,
2020-08-06,
2020-08-09,0.60901314
2020-08-11,
2020-08-14,0.6112486
2020-08-16,
2020-08-19,0.60758406
2020-08-21,
2020-08-24,
2020-08-26,
2020-08-29,
2020-08-31,
2020-09-03,
2020-09-05,0.63755065
2020-09-08,
2020-09-10,0.65700513
2020-09-13,0.66044265
2020-09-15,
2020-09-18,0.63174206
2020-09-20,
2020-09-23,0.63983214
2020-09-25,
2020-09-28,0.25379047
2020-09-30,
2020-10-03,
2020-10-08,
2020-10-10,
2020-10-13,0.21670128
2020-10-15,
2020-10-18,0.73301417
2020-10-20,
2020-10-23,0.2442603
2020-10-25,
2020-10-28,
2020-10-30,
2020-11-02,
2020-11-04,
2020-11-07,
2020-11-09,
2020-11-12,
2020-11-14,
2020-11-17,
2020-11-19,
2020-11-22,0.47853458
2020-11-24,
2020-11-27,0.42994386
2020-11-29,
2020-12-12,
2020-12-19,
2020-12-22,
2020-12-29,
2021-01-01,
2021-01-08,
2021-01-11,
2021-01-13,
2021-01-16,
2021-01-18,
2021-01-21,
2021-01-23,
2021-01-26,
2021-01-28,
2021-01-31,
2021-02-02,
2021-02-05,
2021-02-07,
2021-02-10,
2021-02-12,
2021-02-15,
2021-02-17,
2021-02-20,
2021-02-22,
2021-02-25,
2021-02-27,
2021-03-02,0.56393003
2021-03-04,0.5981356
2021-03-07,
2021-03-09,
2021-03-12,
2021-03-14,
2021-03-17,
2021-03-19,0.6066016
2021-03-22,
2021-03-24,0.538061
2021-03-27,
2021-03-29,
2021-04-01,
2021-04-03,
2021-04-06,
2021-04-08,0.53640985
2021-04-11,
2021-04-13,
2021-04-16,0.48528787
2021-04-18,0.5051367
2021-04-21,0.4772894
2021-04-23,0.605406
2021-04-26,
2021-04-28,
2021-05-01,
2021-05-03,
2021-05-06,
2021-05-08,
2021-05-11,
2021-05-13,0.5012785
2021-05-16,
2021-05-18,
2021-05-21,
2021-05-23,
2021-05-26,
2021-05-28,0.53374696
2021-05-31,
2021-06-02,
2021-06-05,0.51789874
2021-06-07,
2021-06-10,0.50124115
2021-06-12,
2021-06-15,
2021-06-17,
2021-06-20,
2021-06-22,
2021-06-25,
2021-06-27,
2021-06-30,
2021-07-02,0.5604943
2021-07-05,
2021-07-07,
2021-07-10,
2021-07-12,0.61497325
2021-07-15,
2021-07-17,0.45181748
2021-07-20,
2021-07-22,0.5971836
2021-07-25,0.5940199
2021-07-27,0.5815029
2021-07-30,
2021-08-01,
2021-08-04,
2021-08-06,0.6247713
2021-08-09,0.5604576
2021-08-11,
2021-08-14,
2021-08-16,
2021-08-19,
2021-08-21,0.37142375
2021-08-24,
2021-08-26,
2021-08-29,
2021-08-31,0.6132404
2021-09-03,0.70399034
2021-09-05,0.6081539
2021-09-08,
2021-09-10,
2021-09-13,
2021-09-15,
2021-09-18,
2021-09-20,
2021-09-23,
2021-09-25,0.6433213
2021-09-28,
2021-09-30,
2021-10-03,
2021-10-05,
2021-10-08,0.593556
2021-10-10,
2021-10-13,0.6750681
2021-10-15,
2021-10-18,0.67535657
2021-10-20,
2021-10-23,
2021-10-25,
2021-10-28,
2021-10-30,
2021-11-02,
2021-11-04,
2021-11-07,
2021-11-12,0.580169
2021-11-14,
2021-11-17,
2021-11-19,
2021-11-22,
2021-11-24,
2021-11-27,
2021-11-29,
2021-12-04,0.3128112
2021-12-07,0.2329852
2021-12-14,
2021-12-17,0.34098467
2021-12-24,0.119458415
2021-12-27,0.33906928
2022-01-03,
2022-01-06,0.4107692
2022-01-13,
2022-01-16,
2022-01-18,
2022-01-21,0.49874488
2022-01-23,
2022-01-26,
2022-01-28,0.61300486
2022-01-31,
2022-02-02,0.29146
2022-02-05,0.61548465
2022-02-07,0.63099396
2022-02-10,
2022-02-12,
2022-02-15,
2022-02-17,
2022-02-20,0.6994311
2022-02-22,
2022-02-25,
2022-02-27,
2022-03-02,0.69717807
2022-03-04,0.6864109
2022-03-07,
2022-03-09,0.658556
2022-03-12,
2022-03-14,0.6318785
2022-03-17,
2022-03-19,0.60061485
2022-03-22,0.58278185
2022-03-24,0.5728228
2022-03-27,
2022-03-29,
2022-04-01,0.6138724
2022-04-03,
2022-04-06,0.5287497
2022-04-08,
2022-04-11,
2022-04-13,
2022-04-16,
2022-04-18,0.5267126
2022-04-21,
2022-04-23,
2022-04-26,
2022-04-28,
2022-05-01,
2022-05-03,0.57919466
2022-05-06,0.51772803
2022-05-08,
2022-05-11,0.53926724
2022-05-13,0.50818473
2022-05-16,0.54203814
2022-05-18,0.537948
2022-05-21,
2022-05-23,
2022-05-26,
2022-05-28,
2022-05-31,
2022-06-02,
2022-06-05,0.50574976
2022-06-07,
2022-06-10,
