t,FAPAR_mean
2019-12-09,
2020-01-08,
2020-01-11,
2020-01-18,
2020-01-21,0.320716
2020-01-23,
2020-01-28,
2020-01-31,
2020-02-02,
2020-02-05,
2020-02-07,
2020-02-10,
2020-02-12,
2020-02-15,
2020-02-17,
2020-02-20,
2020-02-22,
2020-02-25,
2020-02-27,
2020-03-01,
2020-03-03,
2020-03-06,
2020-03-08,
2020-03-11,
2020-03-13,
2020-03-16,
2020-03-18,
2020-03-21,
2020-03-23,
2020-03-26,
2020-03-28,
2020-03-31,
2020-04-02,
2020-04-05,0.34576494
2020-04-07,0.34513468
2020-04-10,0.3482649
2020-04-12,
2020-04-15,
2020-04-17,
2020-04-20,
2020-04-22,
2020-04-25,
2020-04-27,
2020-04-30,
2020-05-02,
2020-05-05,
2020-05-07,
2020-05-10,
2020-05-12,
2020-05-15,
2020-05-17,0.31667003
2020-05-20,
2020-05-22,0.36893705
2020-05-25,
2020-05-27,
2020-05-30,
2020-06-01,0.3760099
2020-06-04,
2020-06-06,
2020-06-09,
2020-06-11,
2020-06-14,0.44267946
2020-06-16,0.42203015
2020-06-19,0.45408726
2020-06-21,
2020-06-24,
2020-06-26,0.46245044
2020-06-29,
2020-07-01,
2020-07-04,
2020-07-06,
2020-07-09,
2020-07-11,
2020-07-14,0.5490011
2020-07-16,0.5110856
2020-07-19,
2020-07-21,
2020-07-24,
2020-07-26,0.5200435
2020-07-29,
2020-07-31,0.570111
2020-08-03,
2020-08-05,
2020-08-08,0.5346965
2020-08-10,
2020-08-13,
2020-08-15,
2020-08-18,0.54558015
2020-08-20,0.49911755
2020-08-23,
2020-08-25,0.5743682
2020-08-28,
2020-08-30,
2020-09-02,0.5388163
2020-09-04,
2020-09-07,0.5419882
2020-09-09,
2020-09-12,
2020-09-14,0.5316867
2020-09-17,
2020-09-19,
2020-09-22,
2020-09-24,
2020-09-27,0.4690815
2020-09-29,
2020-10-02,0.4821081
2020-10-04,
2020-10-07,
2020-10-09,
2020-10-12,
2020-10-14,
2020-10-17,
2020-10-19,
2020-10-22,
2020-10-24,
2020-10-27,
2020-10-29,
2020-11-01,
2020-11-03,
2020-11-06,0.3807135
2020-11-08,0.4443914
2020-11-11,
2020-11-13,
2020-11-18,0.31788865
2021-01-02,
2021-01-12,
2021-01-15,
2021-01-22,
2021-01-25,
2021-01-27,
2021-01-30,
2021-02-01,
2021-02-04,
2021-02-06,
2021-02-09,
2021-02-11,
2021-02-14,
2021-02-16,
2021-02-19,
2021-02-21,
2021-02-24,
2021-02-26,
2021-03-01,
2021-03-03,
2021-03-06,
2021-03-08,
2021-03-11,
2021-03-13,
2021-03-16,
2021-03-18,
2021-03-21,
2021-03-23,
2021-03-26,
2021-03-28,
2021-03-31,
2021-04-02,
2021-04-05,
2021-04-07,
2021-04-10,
2021-04-12,
2021-04-15,
2021-04-17,
2021-04-20,0.3679962
2021-04-22,
2021-04-25,
2021-04-27,
2021-04-30,
2021-05-02,0.35139555
2021-05-05,
2021-05-07,
2021-05-10,
2021-05-12,0.37443542
2021-05-15,0.32311875
2021-05-17,
2021-05-20,
2021-05-22,
2021-05-25,
2021-05-30,0.4745096
2021-06-01,0.48184645
2021-06-04,0.4694992
2021-06-06,
2021-06-09,0.4857102
2021-06-11,
2021-06-14,0.541577
2021-06-16,
2021-06-19,
2021-06-21,
2021-06-24,
2021-06-26,
2021-06-29,0.6186371
2021-07-01,
2021-07-04,0.6111387
2021-07-06,
2021-07-09,
2021-07-11,0.61588484
2021-07-14,0.5877385
2021-07-16,0.6174886
2021-07-19,
2021-07-21,0.6210946
2021-07-24,
2021-07-26,0.55296123
2021-07-29,
2021-07-31,
2021-08-03,
2021-08-05,
2021-08-08,
2021-08-10,
2021-08-13,0.5731925
2021-08-15,
2021-08-18,
2021-08-20,
2021-08-23,
2021-08-25,
2021-08-28,
2021-08-30,
2021-09-02,
2021-09-04,0.6656692
2021-09-07,
2021-09-09,
2021-09-12,
2021-09-14,
2021-09-17,
2021-09-19,
2021-09-22,
2021-09-24,
2021-09-27,0.6486073
2021-09-29,
2021-10-02,
2021-10-04,
2021-10-07,
2021-10-09,
2021-10-12,
