t,LAI_mean
2019-03-10,
2019-03-13,
2019-03-15,
2019-03-18,
2019-03-20,
2019-03-23,
2019-03-25,
2019-03-28,
2019-03-30,
2019-04-02,
2019-04-04,
2019-04-07,
2019-04-09,
2019-04-12,
2019-04-14,
2019-04-17,
2019-04-19,
2019-04-22,1.366327
2019-04-24,
2019-04-27,1.0990598
2019-04-29,
2019-05-02,1.4037855
2019-05-04,
2019-05-07,
2019-05-09,
2019-05-12,
2019-05-14,1.5918773
2019-05-17,
2019-05-19,
2019-05-24,1.580777
2019-05-27,
2019-05-29,
2019-06-01,
2019-06-03,
2019-06-06,
2019-06-11,
2019-06-13,1.8449274
2019-06-16,
2019-06-18,
2019-06-21,
2019-06-23,
2019-06-26,1.8796268
2019-06-28,2.0942504
2019-07-01,1.4502848
2019-07-03,
2019-07-06,
2019-07-08,
2019-07-11,
2019-07-13,1.297762
2019-07-16,
2019-07-18,
2019-07-21,
2019-07-23,2.132599
2019-07-26,1.8809953
2019-07-28,
2019-07-31,
2019-08-02,
2019-08-05,0.93564653
2019-08-07,
2019-08-10,
2019-08-12,
2019-08-15,
2019-08-17,
2019-08-20,
2019-08-22,0.7695087
2019-08-25,
2019-08-27,
2019-08-30,
2019-09-01,1.3448681
2019-09-04,1.696868
2019-09-06,
2019-09-09,
2019-09-11,0.6470538
2019-09-14,1.5206923
2019-09-16,1.5572435
2019-09-19,
2019-09-21,1.5166632
2019-09-24,
2019-09-26,0.73356456
2019-09-29,
2019-10-01,
2019-10-04,
2019-10-06,
2019-10-09,
2019-10-11,0.95243794
2019-10-14,1.2536347
2019-10-16,
2019-10-19,
2019-10-21,
2019-10-24,
2019-10-26,1.0837926
2019-10-29,
2019-10-31,
2019-11-03,
2019-11-05,
2019-11-08,
2019-11-10,
2019-11-13,
2019-11-15,
2019-11-18,
2019-11-20,
2019-11-23,
2019-11-28,
2019-11-30,
2019-12-03,
2019-12-05,
2019-12-08,
2019-12-10,
2019-12-13,
2019-12-15,
2019-12-18,
2019-12-20,
2019-12-23,
2019-12-25,
2019-12-28,
2019-12-30,
2020-01-02,
2020-01-04,
2020-01-07,
2020-01-09,
2020-01-12,
2020-01-14,
2020-01-17,
2020-01-19,
2020-01-22,
2020-01-24,
2020-01-27,
2020-01-29,
2020-02-01,
2020-02-03,
2020-02-06,
2020-02-08,
2020-02-11,
2020-02-13,
2020-02-16,
2020-02-18,
2020-02-21,
2020-02-23,
2020-02-26,
2020-02-28,
2020-03-02,
2020-03-04,
2020-03-07,
2020-03-09,
2020-03-12,
2020-03-14,
2020-03-17,
2020-03-19,
2020-03-22,
2020-03-24,
2020-03-27,
2020-03-29,
2020-04-01,
2020-04-03,
2020-04-06,
2020-04-08,
2020-04-11,
2020-04-13,
2020-04-16,1.0665132
2020-04-18,0.9472874
2020-04-21,
2020-04-23,1.3485175
2020-04-26,
2020-04-28,
2020-05-01,
2020-05-03,1.5324436
2020-05-06,1.0062762
2020-05-08,1.4338299
2020-05-11,
2020-05-13,
2020-05-16,
2020-05-18,1.1592672
2020-05-21,1.493851
2020-05-23,1.3428137
2020-05-26,1.7862054
2020-05-28,
2020-05-31,
2020-06-02,1.8006041
2020-06-05,1.6308413
2020-06-07,
2020-06-10,
2020-06-12,1.8909384
2020-06-15,
2020-06-17,
2020-06-20,
2020-06-22,1.4661624
2020-06-25,2.072871
2020-06-27,
2020-06-30,
2020-07-02,
2020-07-05,1.8920524
2020-07-07,2.086506
2020-07-10,1.867488
2020-07-12,
2020-07-15,1.9991306
2020-07-17,
2020-07-20,1.9364103
2020-07-22,
2020-07-25,
2020-07-27,
2020-07-30,
2020-08-01,1.4990915
2020-08-04,0.9604969
2020-08-06,1.8728548
2020-08-09,1.7413104
2020-08-11,1.8323616
2020-08-14,
2020-08-16,
2020-08-19,
2020-08-21,1.8685504
2020-08-24,
2020-08-26,1.4892888
2020-08-29,
2020-08-31,
2020-09-03,1.5427636
2020-09-05,1.5839143
2020-09-08,
2020-09-10,0.8012071
2020-09-13,1.3547281
2020-09-15,1.4448757
2020-09-18,
2020-09-20,
2020-09-23,
2020-09-25,
2020-09-28,
2020-09-30,0.98277307
2020-10-03,
2020-10-08,1.2377278
2020-10-10,1.096442
2020-10-13,
2020-10-15,
2020-10-18,
2020-10-20,0.72614545
2020-10-23,
2020-10-25,
2020-10-28,
2020-10-30,0.7408097
2020-11-02,0.9681936
2020-11-04,0.9746712
2020-11-07,1.0687575
2020-11-09,0.97302186
2020-11-12,
2020-11-14,0.9807973
2020-11-17,1.0053036
2020-11-19,0.9449356
2020-11-22,1.0519508
2020-11-24,0.9269812
2020-11-27,0.9827492
2020-11-29,0.9287907
2020-12-02,
2020-12-04,
2020-12-07,
2020-12-09,
2020-12-12,
2020-12-17,
2020-12-19,
2020-12-22,
2020-12-24,
2020-12-27,
2020-12-29,
2021-01-01,
2021-01-03,
2021-01-06,
2021-01-08,
2021-01-11,
2021-01-13,
2021-01-16,
2021-01-18,
2021-01-21,
2021-01-23,
2021-01-26,
2021-01-28,
2021-01-31,
2021-02-02,
2021-02-05,
2021-02-07,
2021-02-10,
2021-02-12,
2021-02-15,
2021-02-17,
2021-02-20,
2021-02-22,
2021-02-25,
2021-02-27,
2021-03-02,
2021-03-04,
2021-03-07,
2021-03-09,
2021-03-12,
2021-03-14,
2021-03-17,
2021-03-19,
2021-03-22,
2021-03-24,
2021-03-27,
2021-03-29,
2021-04-01,
2021-04-03,
2021-04-06,
2021-04-08,
2021-04-11,
2021-04-13,
2021-04-16,
2021-04-18,
2021-04-21,
2021-04-23,
2021-04-26,
2021-04-28,
2021-05-01,1.0271462
2021-05-03,
2021-05-06,
2021-05-08,1.2963057
2021-05-11,
2021-05-13,
2021-05-16,
2021-05-18,
2021-05-21,
2021-05-23,
2021-05-26,1.4908526
2021-05-28,1.3788326
2021-05-31,
2021-06-02,
2021-06-05,1.4515827
2021-06-07,
2021-06-10,
2021-06-12,
2021-06-15,
2021-06-17,
2021-06-20,
2021-06-22,1.9790472
2021-06-25,
2021-06-27,2.0655565
2021-06-30,1.3335296
2021-07-02,
2021-07-05,
2021-07-07,2.0436208
2021-07-10,2.0424874
2021-07-12,2.2534952
2021-07-15,
2021-07-17,
2021-07-20,
2021-07-22,
2021-07-25,
2021-07-27,1.3458089
2021-07-30,1.012093
2021-08-01,
2021-08-04,
2021-08-06,2.0575738
2021-08-09,1.859113
2021-08-11,
2021-08-14,1.8336577
2021-08-16,
2021-08-19,1.7759204
2021-08-21,
2021-08-24,
2021-08-26,1.8462216
2021-08-29,
2021-08-31,
2021-09-03,
2021-09-05,
2021-09-08,
2021-09-10,1.6900247
2021-09-13,1.3764986
2021-09-15,
2021-09-18,
2021-09-20,
2021-09-23,1.2937008
2021-09-25,1.4115107
2021-09-28,1.4431685
2021-09-30,1.38628
2021-10-03,
2021-10-05,
2021-10-08,
2021-10-10,1.3093318
2021-10-13,1.1646292
2021-10-15,1.1364635
2021-10-18,1.307664
2021-10-20,1.041996
2021-10-23,1.2640817
2021-10-25,
2021-10-28,1.254126
2021-10-30,1.0563416
2021-11-02,
2021-11-04,
2021-11-07,
2021-11-12,
2021-11-14,
2021-11-17,1.0742304
2021-11-19,
2021-11-22,
2021-11-24,1.0405178
2021-11-27,
2021-11-29,
2021-12-02,
2021-12-04,
2021-12-07,
2021-12-09,
2021-12-12,
2021-12-14,
2021-12-17,
2021-12-19,
2021-12-22,
2021-12-24,
2021-12-27,
2021-12-29,
2022-01-01,
2022-01-03,
2022-01-06,
2022-01-08,
2022-01-11,
2022-01-13,
2022-01-16,
2022-01-18,
2022-01-21,
2022-01-23,
2022-01-26,
2022-01-28,
2022-01-31,
2022-02-02,
2022-02-05,
2022-02-07,
2022-02-10,
2022-02-12,
2022-02-15,
2022-02-17,
2022-02-20,
2022-02-22,
2022-02-25,
2022-02-27,
2022-03-02,
2022-03-04,
2022-03-07,
2022-03-09,
2022-03-12,
2022-03-14,
2022-03-17,
2022-03-19,
2022-03-22,
2022-03-24,
2022-03-27,0.9150003
2022-03-29,
2022-04-01,
2022-04-03,
2022-04-06,
2022-04-08,
2022-04-11,1.1570032
2022-04-13,0.96055007
2022-04-16,1.4306598
2022-04-18,1.2605339
2022-04-21,
2022-04-23,
2022-04-26,
2022-04-28,1.528903
2022-05-01,
2022-05-03,
2022-05-06,
2022-05-08,
2022-05-11,1.5636683
2022-05-13,
2022-05-16,1.3834803
2022-05-18,
2022-05-21,
2022-05-23,
2022-05-26,
2022-05-28,
2022-05-31,
2022-06-02,1.6745559
2022-06-05,
2022-06-07,
2022-06-10,1.8176178
2022-06-12,1.9904401
2022-06-15,1.4185616
2022-06-17,1.5576556
2022-06-20,2.0025349
2022-06-22,
2022-06-25,
2022-06-27,2.0980468
2022-06-30,2.0166981
2022-07-02,2.2566988
2022-07-05,
2022-07-07,
2022-07-10,
2022-07-12,
2022-07-15,
2022-07-17,2.248761
2022-07-20,2.0328202
