t,LAI_mean
2019-03-29,4.878107
2019-04-01,5.2958746
2019-04-03,
2019-04-06,
2019-04-08,
2019-04-11,6.0206394
2019-04-13,6.98349
2019-04-16,6.4773784
2019-04-18,5.777622
2019-04-21,5.899512
2019-04-23,
2019-04-26,
2019-04-28,
2019-05-01,5.736983
2019-05-03,
2019-05-06,4.435352
2019-05-08,
2019-05-11,
2019-05-13,5.323126
2019-05-16,
2019-05-18,
2019-05-23,
2019-05-26,
2019-05-28,
2019-05-31,
2019-06-02,4.4995227
2019-06-05,
2019-06-07,4.9227347
2019-06-12,
2019-06-15,
2019-06-17,4.9013534
2019-06-20,
2019-06-22,4.517523
2019-06-25,
2019-06-27,3.4022
2019-06-30,2.7950482
2019-07-02,
2019-07-05,2.3815634
2019-07-07,
2019-07-10,1.7900723
2019-07-12,
2019-07-15,
2019-07-17,
2019-07-20,
2019-07-22,
2019-07-25,
2019-07-27,
2019-07-30,
2019-08-01,
2019-08-04,
2019-08-06,
2019-08-09,
2019-08-11,
2019-08-14,
2019-08-16,
2019-08-19,2.3210967
2019-08-21,2.0562701
2019-08-24,2.3684332
2019-08-26,1.9276384
2019-08-29,
2019-08-31,
2019-09-03,
2019-09-05,
2019-09-08,
2019-09-10,
2019-09-13,
2019-09-15,
2019-09-18,1.9601429
2019-09-20,1.7441053
2019-09-25,
2019-09-28,
2019-09-30,
2019-10-03,0.5527297
2019-10-05,
2019-10-08,
2019-10-10,
2019-10-13,
2019-10-15,
2019-10-18,
2019-10-20,
2019-10-23,
2019-10-25,2.839779
2019-10-28,
2019-10-30,
2019-11-02,
2019-11-04,
2019-11-07,
2019-11-09,
2019-11-12,
2019-11-14,
2019-11-17,
2019-11-19,0.8989926
2019-11-22,
2019-11-24,
2019-11-27,
2019-11-29,
2019-12-02,
2019-12-04,2.1877522
2019-12-07,
2019-12-09,
2019-12-12,
2019-12-14,
2019-12-17,
2019-12-19,
2019-12-22,
2019-12-24,
2019-12-27,
2019-12-29,2.6716354
2020-01-01,2.4095788
2020-01-03,
2020-01-06,2.6498642
2020-01-08,
2020-01-11,
2020-01-13,
2020-01-16,
2020-01-18,
2020-01-21,3.130997
2020-01-23,
2020-01-26,2.572043
2020-01-28,
2020-01-31,
2020-02-02,
2020-02-05,
2020-02-07,3.3798451
2020-02-10,
2020-02-12,
2020-02-15,
2020-02-17,
2020-02-20,
2020-02-22,
2020-02-25,
2020-02-27,
2020-03-01,
2020-03-03,
2020-03-06,
2020-03-08,
2020-03-11,
2020-03-13,
2020-03-16,4.0730987
2020-03-18,
2020-03-21,
2020-03-23,
2020-03-26,4.8532486
2020-03-28,4.219627
2020-03-31,4.1281843
2020-04-02,
2020-04-05,4.899749
2020-04-07,5.0820394
2020-04-10,5.45281
2020-04-12,5.385905
2020-04-15,
2020-04-17,
2020-04-20,5.3200192
2020-04-22,5.4320073
2020-04-25,5.196624
2020-04-27,4.9744177
2020-04-30,
2020-05-02,
2020-05-05,
2020-05-07,5.0097413
2020-05-10,
2020-05-12,
2020-05-15,5.0357203
