t,LAI_mean
2019-02-18,2.1121528
2019-02-20,2.36041
2019-02-23,2.838492
2019-02-25,2.602868
2019-02-28,
2019-03-02,
2019-03-05,
2019-03-07,
2019-03-10,
2019-03-12,
2019-03-15,
2019-03-17,
2019-03-20,4.4529243
2019-03-22,4.499145
2019-03-25,5.4048176
2019-03-27,2.8106277
2019-03-30,
2019-04-01,4.66786
2019-04-04,
2019-04-06,
2019-04-09,5.3264112
2019-04-11,4.3673415
2019-04-14,4.0446143
2019-04-16,
2019-04-19,4.824483
2019-04-21,
2019-04-24,
2019-04-26,
2019-04-29,
2019-05-01,
2019-05-04,
2019-05-06,
2019-05-09,
2019-05-11,
2019-05-14,3.538034
2019-05-16,1.9854019
2019-05-19,
2019-05-24,
2019-05-26,3.0901825
2019-05-29,4.4068294
2019-05-31,4.2940927
2019-06-03,
2019-06-05,
2019-06-08,
2019-06-15,
2019-06-18,5.1265025
2019-06-20,
2019-06-23,
2019-06-25,0.9395414
2019-06-28,1.3226647
2019-06-30,
2019-07-03,1.5758117
2019-07-05,1.6482294
2019-07-08,1.6802276
2019-07-10,1.7844439
2019-07-13,1.8330237
2019-07-15,1.6805785
2019-07-18,
2019-07-20,
2019-07-23,1.0563182
2019-07-25,0.95728385
2019-07-28,
2019-07-30,
2019-08-02,1.0182711
2019-08-04,
2019-08-07,
2019-08-09,
2019-08-12,1.331393
2019-08-14,1.1318729
2019-08-17,
2019-08-19,
2019-08-22,1.0574758
2019-08-24,
2019-08-27,
2019-08-29,0.7163209
2019-09-01,
2019-09-03,0.6802913
2019-09-06,0.6754066
2019-09-08,
2019-09-11,0.6520507
2019-09-13,0.5579688
2019-09-16,0.44160044
2019-09-18,0.4664344
2019-09-21,0.40097174
2019-09-26,0.6956722
2019-09-28,
2019-10-01,
2019-10-03,
2019-10-06,
2019-10-08,
2019-10-11,1.9080584
2019-10-13,1.4684229
2019-10-16,
2019-10-18,
2019-10-21,
2019-10-23,
2019-10-26,
2019-10-28,
2019-10-31,
2019-11-02,
2019-11-05,
2019-11-07,
2019-11-10,
2019-11-12,1.4009017
2019-11-15,
2019-11-17,
2019-11-20,
2019-11-22,
2019-11-25,
2019-11-27,
2019-11-30,
2019-12-02,2.9953082
2019-12-05,2.9801557
2019-12-07,
2019-12-10,
2019-12-12,
2019-12-15,
2019-12-17,3.1728706
2019-12-20,
2019-12-22,3.2701073
2019-12-25,3.10942
2019-12-27,
2019-12-30,3.5023465
2020-01-01,
2020-01-04,3.1571379
2020-01-06,3.4400022
2020-01-09,
2020-01-11,3.0942318
2020-01-14,
2020-01-16,
2020-01-19,3.5702856
2020-01-21,3.392593
2020-01-24,1.9231534
2020-01-26,
2020-01-29,
2020-01-31,
2020-02-03,
2020-02-05,
2020-02-08,
2020-02-10,
2020-02-13,
2020-02-15,3.5805054
2020-02-18,
2020-02-20,
2020-02-23,
2020-02-25,
2020-02-28,
2020-03-01,
2020-03-04,
2020-03-06,
2020-03-09,
2020-03-11,
2020-03-14,
2020-03-16,
2020-03-19,4.058986
2020-03-21,
2020-03-24,4.630081
2020-03-26,4.4995537
2020-03-29,
2020-03-31,4.964876
2020-04-03,
2020-04-05,5.1298018
2020-04-08,
2020-04-10,5.2093186
2020-04-13,5.446612
2020-04-15,
2020-04-18,
2020-04-20,
2020-04-23,5.9245095
2020-04-25,3.7331066
2020-04-28,
2020-04-30,
2020-05-03,
2020-05-05,5.355141
2020-05-08,
2020-05-10,
2020-05-13,
2020-05-15,2.423084
2020-05-18,0.9801278
2020-05-20,0.79475635
2020-05-23,
2020-05-25,0.8749143
2020-05-28,1.0641907
2020-05-30,1.4092063
2020-06-02,1.6276824
2020-06-04,
2020-06-07,
2020-06-09,2.5202713
2020-06-12,
2020-06-14,
2020-06-17,
2020-06-19,
2020-06-22,2.8370104
2020-06-24,3.881014
2020-06-27,
2020-06-29,
2020-07-02,
2020-07-04,2.2934055
2020-07-07,3.9175503
2020-07-09,3.198301
2020-07-12,3.4047472
2020-07-14,3.0267522
2020-07-17,
2020-07-19,2.389555
2020-07-22,1.0167999
2020-07-24,1.7906039
2020-07-27,1.6990964
2020-07-29,1.5758166
2020-08-01,
2020-08-03,
2020-08-06,1.166373
2020-08-08,0.97618395
2020-08-11,1.0145105
2020-08-13,
2020-08-16,
2020-08-18,
2020-08-21,
2020-08-23,
2020-08-26,
2020-08-28,
2020-08-31,
2020-09-02,1.4410937
2020-09-05,
2020-09-07,1.268432
2020-09-10,1.1158682
2020-09-12,0.99052805
2020-09-15,0.76584774
2020-09-17,0.70874107
2020-09-20,
2020-09-22,
2020-09-25,
2020-09-27,
2020-09-30,
2020-10-02,
2020-10-05,
2020-10-07,0.57694954
2020-10-10,
2020-10-12,
2020-10-15,
2020-10-17,
2020-10-20,
2020-10-25,
2020-10-27,
2020-10-30,
2020-11-01,
2020-11-04,3.659122
2020-11-06,
2020-11-09,
2020-11-11,4.3994617
2020-11-14,
2020-11-16,
2020-11-19,4.1356254
2020-11-21,4.311685
2020-11-24,
2020-11-26,4.0959177
2020-11-29,4.2685285
2020-12-01,
2020-12-04,
2020-12-06,
2020-12-09,
2020-12-11,
2020-12-16,
2020-12-19,
2020-12-21,
2020-12-24,
2020-12-26,
2020-12-29,4.219813
2020-12-31,
2021-01-03,4.146114
2021-01-05,
2021-01-08,
2021-01-10,4.1998305
2021-01-13,
2021-01-15,
2021-01-18,3.4136484
2021-01-20,
2021-01-23,
2021-01-25,4.1769357
2021-01-28,
2021-01-30,
2021-02-02,
2021-02-04,
2021-02-07,
2021-02-09,
2021-02-12,
2021-02-14,
2021-02-17,3.0166621
2021-02-19,
2021-02-22,
2021-02-24,3.2383645
2021-02-27,3.142972
2021-03-01,3.200742
2021-03-04,3.0520148
2021-03-06,3.5409188
2021-03-09,3.4883678
2021-03-11,
2021-03-14,4.6884828
2021-03-16,3.8983
2021-03-19,
2021-03-21,
2021-03-24,4.5665083
2021-03-26,
2021-03-29,4.722109
2021-03-31,4.0858703
2021-04-03,5.2353406
2021-04-05,5.238435
2021-04-08,5.353506
2021-04-10,
2021-04-13,5.1097736
2021-04-15,5.57063
2021-04-18,
2021-04-20,
2021-04-23,5.6480308
2021-04-25,
2021-04-28,
2021-04-30,
2021-05-03,5.3171396
2021-05-05,
2021-05-08,3.3636613
2021-05-10,
2021-05-13,
2021-05-15,
2021-05-18,
2021-05-20,
2021-05-23,
2021-05-25,
2021-05-28,
2021-05-30,
2021-06-02,
2021-06-04,
2021-06-07,
2021-06-09,
2021-06-12,
2021-06-14,1.6945767
2021-06-17,
2021-06-19,
2021-06-22,
2021-06-24,3.5663471
2021-06-27,
2021-06-29,
2021-07-02,
2021-07-04,
2021-07-07,
2021-07-09,
2021-07-12,
2021-07-14,
2021-07-17,3.32633
2021-07-19,3.4412231
2021-07-22,3.3623674
2021-07-24,
2021-07-27,
2021-07-29,
2021-08-01,
2021-08-03,
2021-08-06,
2021-08-08,1.5197686
2021-08-11,1.4546195
2021-08-13,
2021-08-16,
2021-08-18,
2021-08-21,
2021-08-23,
2021-08-26,1.1017166
2021-08-28,1.1875811
2021-08-31,
2021-09-02,1.0078615
2021-09-05,
2021-09-07,0.8830095
2021-09-10,
2021-09-12,1.0213606
2021-09-15,
2021-09-17,
2021-09-20,
2021-09-22,1.1539923
2021-09-25,
2021-09-27,
2021-09-30,1.2222508
2021-10-02,
2021-10-05,
2021-10-07,1.6586431
2021-10-10,2.0541732
2021-10-12,
2021-10-15,2.515031
2021-10-17,2.703006
2021-10-20,
2021-10-22,2.9140096
2021-10-25,
2021-10-27,2.995761
2021-10-30,
2021-11-01,3.028203
2021-11-04,2.9307435
2021-11-06,3.0171757
2021-11-09,
2021-11-11,
2021-11-14,
2021-11-16,
2021-11-19,2.6348183
2021-11-21,
2021-11-24,
2021-11-26,
2021-11-29,
2021-12-01,
2021-12-04,
2021-12-06,
2021-12-09,
2021-12-11,
2021-12-14,
2021-12-16,
2021-12-19,
2021-12-21,
2021-12-24,
2021-12-26,
2021-12-29,
2021-12-31,1.4970567
2022-01-03,
2022-01-05,
2022-01-08,
2022-01-10,
2022-01-13,2.1251564
2022-01-15,1.3313067
2022-01-18,
2022-01-20,
2022-01-23,
2022-01-25,0.6940177
2022-01-28,
2022-01-30,
2022-02-02,
2022-02-04,
2022-02-07,
2022-02-09,1.9853007
2022-02-12,1.6868896
2022-02-14,
2022-02-17,
2022-02-19,2.331773
2022-02-22,
2022-02-24,2.4460287
2022-02-27,2.3805318
2022-03-01,
2022-03-04,
2022-03-06,1.9315428
2022-03-09,3.4957042
2022-03-11,
2022-03-14,
2022-03-16,
2022-03-19,
2022-03-21,
2022-03-24,4.3464665
2022-03-26,4.4322
2022-03-29,
2022-03-31,
2022-04-03,5.4361305
2022-04-05,
2022-04-08,
2022-04-10,4.807094
2022-04-13,
2022-04-15,5.1320524
2022-04-18,
2022-04-20,
2022-04-23,
2022-04-25,
2022-04-28,
2022-04-30,5.379326
2022-05-03,5.0136185
2022-05-05,
2022-05-08,1.3930445
2022-05-10,
2022-05-13,
2022-05-15,
2022-05-18,
2022-05-20,
2022-05-23,
2022-05-25,
2022-05-28,2.0916517
2022-05-30,2.0812705
2022-06-02,2.070833
2022-06-04,
2022-06-07,
2022-06-09,
2022-06-12,2.9860117
2022-06-14,2.666182
2022-06-17,2.0995076
2022-06-19,1.9583621
2022-06-22,
2022-06-24,
2022-06-27,3.1722622
2022-06-29,
2022-07-02,3.246691
2022-07-04,2.5942829
2022-07-07,1.1241521
2022-07-09,1.0266281
2022-07-12,0.8300684
2022-07-14,0.7051564
2022-07-17,
2022-07-19,
2022-07-22,
2022-07-24,0.4647365
2022-07-27,
2022-07-29,
2022-08-01,0.34961942
2022-08-03,0.3568181
2022-08-06,0.29194403
2022-08-08,0.31927568
2022-08-11,0.27790076
2022-08-13,0.27616486
2022-08-16,
2022-08-18,
2022-08-21,
2022-08-23,
2022-08-26,
2022-08-28,0.7435564
2022-08-31,
2022-09-02,
2022-09-05,1.1084392
2022-09-07,
2022-09-10,
2022-09-12,1.4138708
2022-09-15,
2022-09-17,
2022-09-20,2.241744
2022-09-22,2.2301865
2022-09-25,
2022-09-27,
2022-09-30,0.7009392
2022-10-02,
2022-10-05,1.0067067
2022-10-07,
2022-10-10,
2022-10-12,
2022-10-15,
2022-10-17,
2022-10-20,
2022-10-22,
2022-10-25,
2022-10-27,
2022-10-30,
2022-11-01,
2022-11-04,
2022-11-06,
2022-11-09,
2022-11-11,3.277151
2022-11-14,
2022-11-16,
2022-11-19,3.568432
2022-11-21,
2022-11-24,
2022-11-26,
2022-11-29,
2022-12-01,
2022-12-04,
2022-12-06,
2022-12-09,
2022-12-11,
2022-12-14,
2022-12-16,3.3542616
2022-12-19,
2022-12-21,
2022-12-24,
2022-12-26,
2022-12-29,
2022-12-31,
2023-01-03,3.1333718
2023-01-05,
2023-01-08,
2023-01-10,
2023-01-13,
2023-01-15,
2023-01-18,
2023-01-20,
2023-01-23,
2023-01-25,
2023-01-28,
2023-01-30,
2023-02-02,
2023-02-04,
2023-02-07,
2023-02-09,3.1207452
2023-02-12,2.7362237
2023-02-14,3.0341446
2023-02-17,
2023-02-19,
2023-02-22,
2023-02-24,
2023-02-27,
2023-03-01,3.123811
2023-03-04,3.622938
2023-03-06,
2023-03-09,
2023-03-11,
2023-03-14,
2023-03-16,4.505885
2023-03-19,
2023-03-21,
2023-03-24,
2023-03-26,
2023-03-29,
2023-03-31,
2023-04-03,
2023-04-05,5.379443
2023-04-08,5.440312
2023-04-10,
2023-04-13,
2023-04-15,
2023-04-18,
2023-04-20,5.080933
2023-04-23,
2023-04-25,
2023-04-28,
2023-04-30,4.987042
2023-05-03,5.344656
2023-05-05,
2023-05-08,
2023-05-10,
2023-05-13,
2023-05-15,
2023-05-18,
2023-05-20,
2023-05-23,
2023-05-25,
2023-05-28,1.58568
2023-05-30,
2023-06-02,
2023-06-04,1.3247749
2023-06-07,1.2094965
2023-06-09,
2023-06-12,
2023-06-14,1.2369938
2023-06-17,
2023-06-19,
2023-06-22,
2023-06-24,1.5045234
2023-06-27,2.1633708
2023-06-29,
2023-07-02,2.5855482
2023-07-04,2.3183625
2023-07-07,2.9083595
2023-07-09,
2023-07-12,
2023-07-14,2.8390515
2023-07-17,2.8622134
2023-07-19,
2023-07-22,
2023-07-24,1.52105
2023-07-27,
2023-07-29,
2023-08-01,
2023-08-03,
2023-08-06,
2023-08-08,1.5278492
2023-08-11,
2023-08-13,1.2052913
2023-08-16,
2023-08-18,
2023-08-21,0.81856686
2023-08-23,
2023-08-26,
2023-08-28,1.0635618
2023-08-31,
2023-09-02,
2023-09-05,0.42478004
2023-09-07,0.6895321
2023-09-10,
2023-09-12,
2023-09-15,1.0303307
2023-09-17,
2023-09-20,
2023-09-22,1.2066382
2023-09-25,1.4252958
2023-09-27,
2023-09-30,
2023-10-02,1.5391123
2023-10-05,
2023-10-07,1.3286554
2023-10-10,1.322796
2023-10-12,
2023-10-15,
2023-10-17,
2023-10-20,
2023-10-22,0.55645376
2023-10-25,
2023-10-27,
2023-10-30,
2023-11-01,
2023-11-04,0.95886546
2023-11-06,2.0605254
2023-11-09,
2023-11-11,
2023-11-14,
2023-11-16,
2023-11-19,
2023-11-21,
2023-11-24,
2023-11-26,3.136171
2023-11-29,
2023-12-01,
2023-12-04,
2023-12-06,2.6812375
2023-12-09,
2023-12-11,
2023-12-14,
2023-12-16,
2023-12-19,
2023-12-21,
2023-12-24,
2023-12-26,
2023-12-29,
2023-12-31,2.6487265
2024-01-03,
2024-01-05,
2024-01-08,
2024-01-10,
2024-01-13,
2024-01-18,
2024-01-20,3.538052
2024-01-23,
2024-01-25,3.0875363
2024-01-28,
2024-01-30,2.5341444
2024-02-02,
2024-02-04,
2024-02-07,
2024-02-09,
2024-02-12,
2024-02-14,
2024-02-17,3.708316
2024-02-19,
2024-02-22,
2024-02-24,4.3188696
2024-02-27,
2024-02-29,
2024-03-03,
2024-03-05,4.5568686
2024-03-08,
2024-03-10,4.323705
2024-03-13,
2024-03-15,
2024-03-18,
2024-03-20,
2024-03-23,4.648142
2024-03-25,
2024-03-28,
2024-03-30,
2024-04-02,6.209125
2024-04-04,
2024-04-07,
2024-04-09,6.6359353
2024-04-12,6.0623403
2024-04-14,5.231844
2024-04-17,
2024-04-19,5.65646
2024-04-22,
2024-04-24,
2024-04-27,
2024-04-29,
2024-05-02,
2024-05-04,
2024-05-07,
2024-05-09,2.4222646
2024-05-12,
2024-05-14,
2024-05-17,
2024-05-19,
2024-05-22,
2024-05-24,
2024-05-27,
2024-05-29,
2024-06-01,
2024-06-03,5.8594685
2024-06-06,
2024-06-08,
2024-06-11,7.768832
2024-06-13,
2024-06-16,
2024-06-18,
2024-06-21,
2024-06-23,2.62908
2024-06-26,3.0133934
2024-06-28,2.6820161
2024-07-01,
2024-07-03,1.5661253
2024-07-06,
2024-07-08,4.4329443
2024-07-11,0.9276148
2024-07-13,
2024-07-16,
2024-07-18,2.2674665
2024-07-21,
2024-07-23,
2024-07-26,
2024-07-28,2.6987174
2024-07-31,2.4887335
2024-08-02,
2024-08-05,
2024-08-07,2.590028
2024-08-10,
2024-08-12,1.8917445
2024-08-15,2.0024772
2024-08-17,
2024-08-20,
2024-08-22,1.7518113
2024-08-25,1.8053023
2024-08-27,1.604882
2024-08-30,
2024-09-01,
2024-09-04,
2024-09-06,
2024-09-09,
2024-09-11,
2024-09-14,1.6145494
2024-09-16,
2024-09-19,1.5975785
2024-09-21,
2024-09-24,
2024-09-26,
2024-09-29,
2024-10-01,
2024-10-04,1.9603379
2024-10-06,
2024-10-09,
2024-10-11,
2024-10-14,
2024-10-16,
2024-10-19,
2024-10-21,1.2182177
2024-10-24,1.2360449
2024-10-26,
2024-10-29,
2024-10-31,
2024-11-03,
2024-11-05,1.8406645
2024-11-08,1.9806868
2024-11-10,
2024-11-13,
2024-11-15,3.22707
2024-11-18,
2024-11-20,
2024-11-23,
2024-11-25,
2024-11-28,
2024-11-30,
2024-12-03,
2024-12-05,
2024-12-08,
2024-12-10,
2024-12-13,
2024-12-15,0.79008925
2024-12-18,
2024-12-20,3.9223905
2024-12-23,3.2874222
2024-12-25,
2024-12-28,4.4304543
2024-12-30,
